f;i;t;demand
93;223;8;1
99;363;8;3
105;329;8;1
106;197;8;2
108;197;8;1
109;201;8;2
110;176;8;4
111;204;8;3
114;195;8;3
116;235;8;1
118;264;8;14
119;275;8;16
120;243;8;15
121;415;8;1
126;416;8;1
127;423;8;3
128;315;8;2
129;111;8;4
131;398;8;1
132;380;8;1
136;325;8;2
137;37;8;3
138;29;8;1
139;34;8;1
151;60;8;2
153;205;8;2
158;215;8;1
160;221;8;2
162;434;8;3
164;434;8;3
166;431;8;2
167;431;8;1
1;114;9;1
2;325;9;17
3;143;9;23
4;324;9;10
5;134;9;15
6;135;9;19
7;320;9;9
8;318;9;19
9;323;9;21
12;117;9;1
18;140;9;1
19;120;9;1
20;135;9;1
21;100;9;1
22;128;9;1
25;129;9;1
26;117;9;3
27;99;9;1
28;113;9;2
40;104;9;1
41;113;9;1
44;109;9;2
46;107;9;1
49;115;9;1
53;108;9;1
61;101;9;18
63;305;9;1
65;302;9;1
68;303;9;2
70;45;9;1
73;26;9;1
74;136;9;5
75;349;9;2
77;337;9;1
83;75;9;1
84;326;9;1
85;231;9;1
87;224;9;1
92;333;9;1
94;280;9;1
99;363;9;4
103;83;9;1
104;83;9;3
105;329;9;1
107;203;9;1
109;201;9;3
110;176;9;2
112;189;9;1
113;173;9;1
116;235;9;1
118;264;9;14
119;275;9;13
120;243;9;18
123;112;9;1
125;423;9;2
126;416;9;2
127;423;9;3
128;315;9;1
129;111;9;2
130;388;9;2
134;394;9;1
138;29;9;1
140;31;9;1
142;32;9;2
146;21;9;1
147;145;9;1
151;60;9;4
153;205;9;1
156;216;9;2
158;215;9;1
159;224;9;1
160;221;9;2
161;231;9;3
162;434;9;2
163;434;9;4
167;431;9;3
2;325;10;16
3;143;10;17
4;324;10;17
5;134;10;6
6;135;10;14
7;320;10;21
8;318;10;13
9;323;10;19
10;121;10;1
14;141;10;1
16;124;10;1
20;135;10;1
22;128;10;1
26;117;10;1
27;99;10;1
33;90;10;1
38;107;10;1
40;104;10;1
42;111;10;1
44;109;10;1
50;85;10;1
52;105;10;1
58;88;10;1
61;101;10;12
70;45;10;1
74;136;10;2
75;349;10;4
77;337;10;1
80;337;10;2
84;326;10;1
85;231;10;1
86;232;10;1
87;224;10;2
91;76;10;1
92;333;10;1
93;223;10;1
96;282;10;3
99;363;10;4
103;83;10;1
104;83;10;1
105;329;10;1
108;197;10;1
110;176;10;1
114;195;10;4
116;235;10;1
118;264;10;10
119;275;10;22
120;243;10;14
121;415;10;1
125;423;10;3
126;416;10;9
127;423;10;3
128;315;10;1
129;111;10;2
135;397;10;2
136;325;10;3
145;19;10;1
146;21;10;3
147;145;10;1
148;42;10;2
151;60;10;2
152;224;10;1
155;219;10;1
156;216;10;1
157;207;10;1
158;215;10;1
159;224;10;3
160;221;10;1
161;231;10;2
162;434;10;2
163;434;10;2
164;434;10;2
166;431;10;1
167;431;10;2
2;325;11;22
3;143;11;16
4;324;11;9
5;134;11;16
6;135;11;10
7;320;11;12
8;318;11;11
9;323;11;18
10;121;11;1
11;100;11;1
12;117;11;1
16;124;11;1
19;120;11;2
20;135;11;1
22;128;11;1
24;95;11;2
26;117;11;3
27;99;11;1
37;93;11;1
40;104;11;2
41;113;11;1
42;111;11;1
44;109;11;2
48;100;11;1
49;115;11;2
56;84;11;1
61;101;11;15
63;305;11;1
66;204;11;1
68;303;11;1
73;26;11;1
74;136;11;3
75;349;11;4
77;337;11;1
78;338;11;1
79;331;11;1
84;326;11;1
86;232;11;1
90;355;11;1
91;76;11;1
92;333;11;2
93;223;11;1
94;280;11;1
95;328;11;2
98;75;11;2
99;363;11;3
100;85;11;3
104;83;11;3
106;197;11;1
107;203;11;1
108;197;11;4
109;201;11;3
110;176;11;2
111;204;11;4
113;173;11;1
114;195;11;5
115;273;11;2
118;264;11;19
119;275;11;9
120;243;11;11
122;276;11;1
123;112;11;1
125;423;11;1
126;416;11;3
127;423;11;4
128;315;11;4
135;397;11;2
136;325;11;2
138;29;11;1
139;34;11;1
142;32;11;1
144;1;11;1
146;21;11;1
148;42;11;4
151;60;11;2
155;219;11;1
160;221;11;2
161;231;11;1
162;434;11;3
163;434;11;1
165;431;11;1
2;325;12;14
3;143;12;20
4;324;12;16
5;134;12;18
6;135;12;12
7;320;12;12
8;318;12;18
9;323;12;19
13;127;12;1
14;141;12;2
15;134;12;1
19;120;12;2
20;135;12;1
25;129;12;1
26;117;12;2
27;99;12;1
34;88;12;1
35;83;12;1
38;107;12;1
48;100;12;1
52;105;12;1
56;84;12;1
60;108;12;1
61;101;12;17
63;305;12;1
66;204;12;2
67;248;12;1
70;45;12;1
74;136;12;1
75;349;12;1
76;327;12;1
79;331;12;2
82;337;12;1
83;75;12;2
84;326;12;1
88;333;12;1
89;75;12;1
90;355;12;1
94;280;12;1
102;119;12;2
103;83;12;1
104;83;12;1
105;329;12;3
107;203;12;1
108;197;12;2
109;201;12;3
110;176;12;1
111;204;12;2
113;173;12;1
117;258;12;1
118;264;12;14
119;275;12;24
120;243;12;14
122;276;12;1
125;423;12;3
126;416;12;2
127;423;12;1
128;315;12;1
129;111;12;1
131;398;12;1
134;394;12;2
135;397;12;3
136;325;12;1
137;37;12;1
139;34;12;1
146;21;12;2
148;42;12;4
150;64;12;1
151;60;12;3
155;219;12;2
156;216;12;1
157;207;12;1
159;224;12;2
160;221;12;2
161;231;12;2
162;434;12;3
163;434;12;2
164;434;12;2
165;431;12;1
167;431;12;6
2;325;13;15
3;143;13;7
4;324;13;11
5;134;13;10
6;135;13;11
7;320;13;10
8;318;13;13
9;323;13;15
14;141;13;3
20;135;13;1
23;132;13;1
25;129;13;1
27;99;13;1
28;113;13;1
30;101;13;1
33;90;13;1
36;113;13;2
37;93;13;1
41;113;13;1
43;85;13;2
46;107;13;2
49;115;13;1
55;98;13;1
57;83;13;2
58;88;13;1
61;101;13;18
64;244;13;2
65;302;13;1
66;204;13;1
75;349;13;4
77;337;13;2
82;337;13;1
88;333;13;1
91;76;13;1
92;333;13;1
95;328;13;1
99;363;13;4
104;83;13;3
105;329;13;3
108;197;13;1
110;176;13;2
113;173;13;2
114;195;13;3
115;273;13;1
117;258;13;1
118;264;13;17
119;275;13;9
120;243;13;11
126;416;13;1
128;315;13;1
129;111;13;1
135;397;13;3
137;37;13;1
140;31;13;1
144;1;13;1
148;42;13;2
149;70;13;2
151;60;13;1
152;224;13;2
154;208;13;1
158;215;13;2
159;224;13;1
160;221;13;1
161;231;13;1
162;434;13;2
163;434;13;1
164;434;13;2
167;431;13;1
2;325;14;10
3;143;14;14
4;324;14;17
5;134;14;16
6;135;14;9
7;320;14;13
8;318;14;11
9;323;14;8
11;100;14;1
15;134;14;1
16;124;14;1
18;140;14;1
25;129;14;1
26;117;14;1
37;93;14;1
38;107;14;1
43;85;14;1
46;107;14;1
49;115;14;1
58;88;14;2
61;101;14;13
62;202;14;2
64;244;14;1
66;204;14;1
74;136;14;2
79;331;14;1
83;75;14;1
89;75;14;1
90;355;14;1
99;363;14;2
104;83;14;2
105;329;14;2
107;203;14;2
108;197;14;1
110;176;14;1
111;204;14;3
114;195;14;1
118;264;14;12
119;275;14;16
120;243;14;6
121;415;14;2
124;270;14;1
125;423;14;3
128;315;14;3
129;111;14;1
135;397;14;1
136;325;14;2
142;32;14;2
143;10;14;1
146;21;14;2
148;42;14;2
149;70;14;1
155;219;14;1
159;224;14;2
160;221;14;3
162;434;14;2
163;434;14;3
164;434;14;2
166;431;14;1
167;431;14;1
2;325;15;12
3;143;15;8
4;324;15;9
5;134;15;8
6;135;15;5
7;320;15;9
8;318;15;21
9;323;15;14
12;117;15;1
14;141;15;1
19;120;15;1
26;117;15;3
27;99;15;1
28;113;15;1
29;108;15;1
31;91;15;2
32;107;15;1
33;90;15;2
38;107;15;2
44;109;15;1
48;100;15;2
53;108;15;2
59;107;15;1
61;101;15;8
63;305;15;1
68;303;15;2
69;139;15;2
74;136;15;2
75;349;15;3
94;280;15;1
96;282;15;1
99;363;15;1
107;203;15;1
108;197;15;4
109;201;15;4
110;176;15;3
111;204;15;2
114;195;15;4
118;264;15;13
119;275;15;11
120;243;15;15
124;270;15;2
125;423;15;1
126;416;15;3
127;423;15;1
128;315;15;1
129;111;15;2
131;398;15;1
133;389;15;1
135;397;15;4
136;325;15;2
144;1;15;1
148;42;15;2
151;60;15;2
153;205;15;1
157;207;15;1
158;215;15;1
159;224;15;2
161;231;15;1
162;434;15;1
163;434;15;2
164;434;15;3
165;431;15;1
2;325;16;13
3;143;16;15
4;324;16;13
5;134;16;13
6;135;16;8
7;320;16;15
8;318;16;12
9;323;16;14
13;127;16;1
20;135;16;1
21;100;16;1
26;117;16;4
27;99;16;1
37;93;16;2
40;104;16;1
42;111;16;1
43;85;16;2
47;109;16;1
49;115;16;1
50;85;16;1
60;108;16;1
61;101;16;13
65;302;16;1
66;204;16;1
69;139;16;1
74;136;16;3
75;349;16;1
76;327;16;1
78;338;16;2
80;337;16;1
84;326;16;1
90;355;16;1
91;76;16;1
92;333;16;1
97;329;16;1
98;75;16;1
99;363;16;2
100;85;16;1
101;119;16;1
104;83;16;1
105;329;16;1
108;197;16;3
110;176;16;1
111;204;16;3
115;273;16;1
117;258;16;2
118;264;16;13
119;275;16;7
120;243;16;6
125;423;16;3
126;416;16;2
128;315;16;1
129;111;16;4
134;394;16;1
135;397;16;3
136;325;16;2
137;37;16;1
141;34;16;1
143;10;16;1
145;19;16;1
146;21;16;2
148;42;16;3
155;219;16;1
156;216;16;1
159;224;16;1
162;434;16;1
163;434;16;2
164;434;16;1
165;431;16;1
166;431;16;1
167;431;16;4
2;325;17;6
3;143;17;12
4;324;17;6
5;134;17;11
6;135;17;9
7;320;17;13
8;318;17;9
9;323;17;11
15;134;17;1
20;135;17;1
28;113;17;1
29;108;17;1
31;91;17;1
38;107;17;2
42;111;17;1
44;109;17;1
48;100;17;1
49;115;17;2
50;85;17;1
52;105;17;1
53;108;17;1
55;98;17;2
56;84;17;1
59;107;17;1
61;101;17;7
62;202;17;3
66;204;17;1
73;26;17;1
74;136;17;2
75;349;17;1
78;338;17;1
85;231;17;1
88;333;17;2
90;355;17;1
91;76;17;1
97;329;17;1
98;75;17;1
102;119;17;1
103;83;17;2
104;83;17;4
105;329;17;1
108;197;17;3
110;176;17;3
112;189;17;1
114;195;17;2
118;264;17;8
119;275;17;11
120;243;17;12
123;112;17;1
125;423;17;3
126;416;17;3
127;423;17;1
129;111;17;1
133;389;17;1
135;397;17;1
136;325;17;1
137;37;17;1
138;29;17;1
142;32;17;1
144;1;17;1
147;145;17;1
148;42;17;1
149;70;17;1
151;60;17;4
154;208;17;1
159;224;17;1
160;221;17;1
161;231;17;2
162;434;17;1
163;434;17;2
164;434;17;3
165;431;17;2
2;325;18;11
3;143;18;14
4;324;18;9
5;134;18;6
6;135;18;4
7;320;18;14
8;318;18;14
9;323;18;13
12;117;18;1
14;141;18;1
18;140;18;1
19;120;18;1
24;95;18;1
25;129;18;1
26;117;18;1
30;101;18;1
31;91;18;1
32;107;18;1
37;93;18;1
39;107;18;2
46;107;18;1
47;109;18;1
48;100;18;2
49;115;18;1
50;85;18;1
61;101;18;11
66;204;18;1
68;303;18;1
73;26;18;1
74;136;18;1
75;349;18;3
81;79;18;1
83;75;18;1
87;224;18;1
88;333;18;1
95;328;18;1
99;363;18;1
104;83;18;1
105;329;18;2
106;197;18;1
108;197;18;1
109;201;18;5
110;176;18;2
111;204;18;1
114;195;18;1
115;273;18;1
116;235;18;1
117;258;18;1
118;264;18;8
119;275;18;19
120;243;18;15
123;112;18;2
126;416;18;1
127;423;18;3
128;315;18;1
129;111;18;1
134;394;18;2
135;397;18;1
136;325;18;3
144;1;18;1
146;21;18;2
148;42;18;1
149;70;18;2
150;64;18;1
151;60;18;1
152;224;18;1
153;205;18;2
156;216;18;2
159;224;18;2
160;221;18;1
161;231;18;2
162;434;18;1
163;434;18;1
164;434;18;2
165;431;18;1
167;431;18;2
2;325;19;3
3;143;19;2
4;324;19;1
5;134;19;3
6;135;19;2
7;320;19;1
8;318;19;5
9;323;19;5
14;141;19;1
24;95;19;1
40;104;19;1
50;85;19;1
52;105;19;1
61;101;19;4
66;204;19;1
67;248;19;1
79;331;19;1
93;223;19;1
102;119;19;1
104;83;19;1
105;329;19;1
107;203;19;1
108;197;19;1
111;204;19;1
118;264;19;1
119;275;19;2
120;243;19;4
122;276;19;1
127;423;19;1
131;398;19;1
135;397;19;1
151;60;19;4
159;224;19;1
165;431;19;1
167;431;19;2
2;325;20;1
5;134;20;5
6;135;20;2
7;320;20;3
8;318;20;2
9;323;20;2
12;117;20;1
16;124;20;1
34;88;20;1
39;107;20;1
61;101;20;1
67;248;20;1
99;363;20;1
101;119;20;1
103;83;20;1
108;197;20;1
118;264;20;1
119;275;20;5
120;243;20;1
127;423;20;1
128;315;20;1
135;397;20;2
138;29;20;1
139;34;20;1
148;42;20;1
152;224;20;1
158;215;20;1
161;231;20;1
163;434;20;2
167;431;20;1
2;325;21;2
3;143;21;4
4;324;21;1
5;134;21;6
6;135;21;2
7;320;21;3
8;318;21;3
9;323;21;2
26;117;21;1
32;107;21;1
41;113;21;1
61;101;21;2
71;25;21;1
110;176;21;1
117;258;21;1
119;275;21;1
120;243;21;2
125;423;21;1
135;397;21;2
136;325;21;1
159;224;21;1
162;434;21;1
164;434;21;1
2;325;22;2
7;320;22;1
110;176;22;1
164;434;22;1
5;134;23;2
108;197;23;1
118;264;23;2
119;275;23;1
139;34;23;1
157;207;23;1
2;325;24;1
3;143;24;1
61;101;24;2
118;264;24;2
119;275;24;1
3;143;25;1
4;324;25;1
5;134;25;1
61;101;25;1
104;83;25;1
111;204;25;1
116;235;25;1
2;325;26;1
75;349;26;1
3;143;27;1
61;101;27;2
114;195;27;1
119;275;27;1
120;243;27;1
151;60;27;1
162;434;27;1
163;434;27;2
6;135;28;1
79;331;28;1
91;76;28;1
163;434;28;1
1;114;29;1
2;325;29;9
3;143;29;7
4;324;29;4
5;134;29;8
6;135;29;10
7;320;29;5
8;318;29;4
9;323;29;8
13;127;29;1
16;124;29;1
19;120;29;1
20;135;29;1
22;128;29;1
28;113;29;2
30;101;29;1
36;113;29;1
51;105;29;1
53;108;29;1
57;83;29;1
61;101;29;6
70;45;29;1
72;347;29;1
74;136;29;1
80;337;29;1
81;79;29;1
95;328;29;1
97;329;29;1
99;363;29;1
104;83;29;1
105;329;29;2
109;201;29;1
110;176;29;1
113;173;29;1
114;195;29;2
115;273;29;1
118;264;29;7
119;275;29;6
120;243;29;12
122;276;29;1
124;270;29;1
125;423;29;1
126;416;29;1
127;423;29;1
128;315;29;2
129;111;29;1
133;389;29;1
135;397;29;1
137;37;29;1
139;34;29;1
145;19;29;1
146;21;29;1
147;145;29;1
148;42;29;4
150;64;29;2
151;60;29;1
159;224;29;2
160;221;29;2
161;231;29;1
162;434;29;2
163;434;29;1
164;434;29;3
167;431;29;1
2;325;30;8
3;143;30;5
4;324;30;6
5;134;30;8
6;135;30;4
7;320;30;4
8;318;30;8
9;323;30;4
12;117;30;1
13;127;30;1
15;134;30;1
18;140;30;1
21;100;30;1
27;99;30;1
32;107;30;1
33;90;30;1
37;93;30;1
38;107;30;1
53;108;30;1
54;93;30;1
55;98;30;1
61;101;30;7
68;303;30;1
74;136;30;3
75;349;30;1
83;75;30;1
90;355;30;2
92;333;30;1
93;223;30;1
95;328;30;1
102;119;30;1
104;83;30;2
108;197;30;1
109;201;30;1
110;176;30;3
111;204;30;1
116;235;30;1
118;264;30;7
119;275;30;7
120;243;30;14
124;270;30;1
125;423;30;1
126;416;30;1
127;423;30;1
129;111;30;1
140;31;30;1
142;32;30;1
144;1;30;1
146;21;30;1
148;42;30;1
154;208;30;1
159;224;30;1
161;231;30;2
162;434;30;1
164;434;30;2
1;114;31;1
2;325;31;6
3;143;31;6
4;324;31;14
5;134;31;13
6;135;31;14
7;320;31;15
8;318;31;8
9;323;31;7
25;129;31;1
26;117;31;2
34;88;31;1
37;93;31;1
44;109;31;1
45;113;31;1
47;109;31;1
48;100;31;1
61;101;31;6
64;244;31;1
68;303;31;1
71;25;31;1
75;349;31;2
78;338;31;1
83;75;31;1
93;223;31;2
97;329;31;1
99;363;31;1
101;119;31;1
102;119;31;1
105;329;31;2
108;197;31;1
111;204;31;1
116;235;31;1
118;264;31;5
119;275;31;8
120;243;31;8
125;423;31;1
126;416;31;1
129;111;31;1
136;325;31;1
143;10;31;1
145;19;31;1
151;60;31;3
152;224;31;1
155;219;31;1
160;221;31;2
161;231;31;3
162;434;31;3
163;434;31;2
164;434;31;2
2;325;32;11
3;143;32;9
4;324;32;9
5;134;32;12
6;135;32;12
7;320;32;7
8;318;32;10
9;323;32;16
16;124;32;1
19;120;32;1
23;132;32;1
25;129;32;1
26;117;32;2
28;113;32;1
31;91;32;2
32;107;32;1
34;88;32;1
35;83;32;1
36;113;32;1
45;113;32;1
46;107;32;1
47;109;32;2
49;115;32;1
53;108;32;1
55;98;32;1
59;107;32;1
60;108;32;1
61;101;32;10
62;202;32;1
69;139;32;1
70;45;32;2
71;25;32;1
74;136;32;3
75;349;32;2
79;331;32;2
80;337;32;1
82;337;32;2
83;75;32;1
85;231;32;1
86;232;32;1
94;280;32;1
100;85;32;1
101;119;32;2
102;119;32;1
104;83;32;3
105;329;32;4
106;197;32;1
110;176;32;1
111;204;32;2
114;195;32;5
118;264;32;6
119;275;32;16
120;243;32;16
125;423;32;1
126;416;32;2
127;423;32;3
129;111;32;4
130;388;32;3
131;398;32;1
132;380;32;1
133;389;32;1
135;397;32;2
136;325;32;2
137;37;32;1
142;32;32;1
145;19;32;1
146;21;32;4
148;42;32;3
149;70;32;1
150;64;32;1
154;208;32;1
155;219;32;1
158;215;32;1
159;224;32;1
160;221;32;2
162;434;32;4
163;434;32;2
164;434;32;2
167;431;32;2
1;114;33;1
2;325;33;11
3;143;33;12
4;324;33;12
5;134;33;10
6;135;33;14
7;320;33;12
8;318;33;10
9;323;33;7
12;117;33;1
15;134;33;1
17;132;33;1
22;128;33;1
24;95;33;1
26;117;33;1
27;99;33;1
30;101;33;1
36;113;33;1
51;105;33;1
54;93;33;1
58;88;33;1
61;101;33;9
67;248;33;2
68;303;33;1
70;45;33;1
74;136;33;1
75;349;33;1
76;327;33;1
79;331;33;1
81;79;33;1
83;75;33;1
88;333;33;1
89;75;33;2
97;329;33;1
98;75;33;1
99;363;33;4
102;119;33;1
104;83;33;3
105;329;33;1
107;203;33;1
108;197;33;2
109;201;33;2
110;176;33;1
111;204;33;2
114;195;33;1
115;273;33;1
118;264;33;19
119;275;33;16
120;243;33;15
122;276;33;1
123;112;33;1
125;423;33;1
126;416;33;1
127;423;33;1
128;315;33;4
129;111;33;2
135;397;33;2
136;325;33;1
140;31;33;1
142;32;33;2
145;19;33;1
146;21;33;3
148;42;33;1
149;70;33;1
151;60;33;3
152;224;33;1
153;205;33;2
157;207;33;3
158;215;33;1
159;224;33;3
160;221;33;1
161;231;33;1
162;434;33;3
163;434;33;3
164;434;33;1
166;431;33;1
167;431;33;3
2;325;34;9
3;143;34;18
4;324;34;18
5;134;34;15
6;135;34;15
7;320;34;14
8;318;34;10
9;323;34;14
11;100;34;1
12;117;34;1
13;127;34;1
21;100;34;1
25;129;34;1
26;117;34;1
28;113;34;2
29;108;34;1
32;107;34;1
36;113;34;1
42;111;34;1
43;85;34;2
45;113;34;2
47;109;34;1
48;100;34;3
50;85;34;2
58;88;34;1
59;107;34;1
61;101;34;14
66;204;34;1
68;303;34;1
71;25;34;1
74;136;34;1
75;349;34;1
77;337;34;1
78;338;34;1
81;79;34;1
82;337;34;1
85;231;34;2
92;333;34;1
96;282;34;1
97;329;34;2
99;363;34;1
103;83;34;1
104;83;34;2
105;329;34;2
106;197;34;2
108;197;34;3
109;201;34;1
110;176;34;2
114;195;34;2
118;264;34;13
119;275;34;13
120;243;34;12
125;423;34;2
126;416;34;3
127;423;34;2
129;111;34;1
133;389;34;1
134;394;34;2
135;397;34;1
136;325;34;1
137;37;34;1
139;34;34;1
143;10;34;1
146;21;34;3
147;145;34;1
148;42;34;2
149;70;34;1
151;60;34;2
153;205;34;1
155;219;34;2
159;224;34;1
160;221;34;1
161;231;34;2
163;434;34;1
164;434;34;1
165;431;34;1
166;431;34;2
167;431;34;1
1;114;35;1
2;325;35;15
3;143;35;11
4;324;35;13
5;134;35;14
6;135;35;20
7;320;35;9
8;318;35;16
9;323;35;17
11;100;35;1
12;117;35;1
15;134;35;1
25;129;35;1
26;117;35;1
27;99;35;1
32;107;35;1
33;90;35;2
41;113;35;1
44;109;35;1
51;105;35;2
59;107;35;1
60;108;35;2
61;101;35;10
65;302;35;1
68;303;35;1
70;45;35;1
71;25;35;1
74;136;35;1
75;349;35;3
76;327;35;1
79;331;35;1
81;79;35;1
84;326;35;1
87;224;35;1
88;333;35;1
94;280;35;2
104;83;35;4
106;197;35;1
108;197;35;3
109;201;35;2
110;176;35;2
111;204;35;1
114;195;35;1
115;273;35;1
116;235;35;1
117;258;35;1
118;264;35;16
119;275;35;19
120;243;35;7
121;415;35;2
123;112;35;1
125;423;35;3
126;416;35;1
128;315;35;6
130;388;35;1
133;389;35;1
135;397;35;1
136;325;35;3
139;34;35;1
141;34;35;1
142;32;35;1
146;21;35;4
147;145;35;2
148;42;35;4
150;64;35;1
151;60;35;1
152;224;35;1
153;205;35;2
156;216;35;1
157;207;35;1
159;224;35;1
160;221;35;2
161;231;35;4
163;434;35;1
164;434;35;1
167;431;35;1
2;325;36;13
3;143;36;16
4;324;36;11
5;134;36;10
6;135;36;16
7;320;36;22
8;318;36;10
9;323;36;13
10;121;36;1
25;129;36;1
28;113;36;1
29;108;36;2
33;90;36;2
38;107;36;1
43;85;36;2
44;109;36;1
45;113;36;1
46;107;36;1
53;108;36;1
54;93;36;1
58;88;36;1
60;108;36;1
61;101;36;9
63;305;36;1
75;349;36;2
82;337;36;2
83;75;36;1
84;326;36;1
86;232;36;1
88;333;36;1
90;355;36;1
92;333;36;2
93;223;36;1
94;280;36;1
96;282;36;1
97;329;36;1
98;75;36;1
99;363;36;3
100;85;36;1
101;119;36;1
104;83;36;2
105;329;36;4
108;197;36;1
109;201;36;3
111;204;36;3
116;235;36;1
118;264;36;14
119;275;36;15
120;243;36;17
123;112;36;1
124;270;36;1
125;423;36;4
127;423;36;1
128;315;36;2
132;380;36;1
135;397;36;1
136;325;36;7
140;31;36;1
141;34;36;1
143;10;36;2
146;21;36;1
147;145;36;1
148;42;36;1
149;70;36;1
153;205;36;1
154;208;36;1
155;219;36;1
157;207;36;1
159;224;36;2
160;221;36;2
161;231;36;4
162;434;36;1
163;434;36;2
164;434;36;2
167;431;36;1
1;114;37;2
2;325;37;11
3;143;37;14
4;324;37;14
5;134;37;15
6;135;37;16
7;320;37;12
8;318;37;7
9;323;37;19
11;100;37;1
15;134;37;1
17;132;37;1
26;117;37;1
27;99;37;1
35;83;37;1
37;93;37;1
39;107;37;2
41;113;37;2
44;109;37;1
47;109;37;1
49;115;37;1
55;98;37;1
56;84;37;1
58;88;37;1
61;101;37;14
69;139;37;2
72;347;37;2
74;136;37;2
77;337;37;2
79;331;37;1
83;75;37;1
84;326;37;1
89;75;37;3
92;333;37;1
99;363;37;2
104;83;37;1
107;203;37;1
109;201;37;2
111;204;37;1
113;173;37;1
114;195;37;5
115;273;37;1
118;264;37;18
119;275;37;18
120;243;37;16
123;112;37;1
125;423;37;4
126;416;37;3
127;423;37;2
128;315;37;2
129;111;37;1
130;388;37;1
131;398;37;1
132;380;37;1
135;397;37;3
140;31;37;1
142;32;37;1
145;19;37;1
148;42;37;1
151;60;37;1
159;224;37;2
160;221;37;4
161;231;37;1
162;434;37;3
163;434;37;1
164;434;37;3
167;431;37;1
2;325;38;11
3;143;38;12
4;324;38;14
5;134;38;16
6;135;38;15
7;320;38;15
8;318;38;20
9;323;38;11
15;134;38;1
17;132;38;1
22;128;38;1
26;117;38;4
29;108;38;2
31;91;38;1
33;90;38;1
36;113;38;2
38;107;38;1
39;107;38;1
47;109;38;1
49;115;38;1
59;107;38;1
60;108;38;1
61;101;38;19
65;302;38;1
72;347;38;2
74;136;38;2
75;349;38;2
77;337;38;1
78;338;38;1
85;231;38;1
90;355;38;1
92;333;38;1
