f;i;t;demand
1;318;29;14
6;107;29;1
13;273;29;1
14;253;29;1
18;421;29;1
1;318;30;7
6;107;30;2
16;255;30;3
17;415;30;1
19;395;30;1
1;318;31;10
4;101;31;1
9;361;31;1
10;357;31;1
13;273;31;1
14;253;31;2
15;240;31;1
16;255;31;1
1;318;32;18
2;131;32;1
3;87;32;1
5;99;32;1
6;107;32;1
8;232;32;1
12;175;32;1
15;240;32;1
19;395;32;1
1;318;33;26
10;357;33;1
12;175;33;2
15;240;33;1
16;255;33;3
20;210;33;1
1;318;34;21
6;107;34;1
8;232;34;3
14;253;34;2
16;255;34;1
17;415;34;3
20;210;34;1
1;318;35;18
6;107;35;1
8;232;35;1
11;196;35;1
15;240;35;1
16;255;35;2
19;395;35;1
1;318;36;21
3;87;36;1
6;107;36;1
11;196;36;2
15;240;36;2
20;210;36;2
1;318;37;20
3;87;37;1
8;232;37;1
14;253;37;2
15;240;37;1
16;255;37;3
19;395;37;1
21;432;37;1
1;318;38;16
3;87;38;2
6;107;38;2
9;361;38;1
10;357;38;3
14;253;38;1
16;255;38;2
18;421;38;2
1;318;39;19
4;101;39;1
6;107;39;2
11;196;39;2
14;253;39;3
15;240;39;1
16;255;39;1
19;395;39;1
21;432;39;1
1;318;40;15
2;131;40;1
5;99;40;1
12;175;40;1
14;253;40;3
15;240;40;3
17;415;40;1
1;318;41;21
4;101;41;1
5;99;41;1
6;107;41;2
12;175;41;1
13;273;41;2
14;253;41;2
15;240;41;5
16;255;41;1
19;395;41;1
1;318;42;18
4;101;42;1
6;107;42;2
7;348;42;2
10;357;42;1
11;196;42;2
14;253;42;1
15;240;42;1
17;415;42;1
1;318;43;4
5;99;43;1
6;107;43;1
9;361;43;1
15;240;43;1
16;255;43;1
1;318;44;4
7;348;44;1
9;361;44;2
1;318;45;7
3;87;45;1
5;99;45;1
6;107;45;1
9;361;45;1
15;240;45;1
1;318;47;1
18;421;49;1
1;318;51;1
7;348;51;1
1;318;53;7
6;107;53;1
8;232;53;2
14;253;53;3
16;255;53;2
19;395;53;1
1;318;54;10
14;253;54;1
16;255;54;3
17;415;54;1
21;432;54;1
1;318;55;14
6;107;55;2
14;253;55;1
15;240;55;2
17;415;55;1
20;210;55;1
1;318;56;26
2;131;56;1
4;101;56;1
6;107;56;2
7;348;56;1
15;240;56;1
19;395;56;2
1;318;57;30
3;87;57;1
8;232;57;2
10;357;57;2
12;175;57;3
13;273;57;1
14;253;57;2
15;240;57;4
16;255;57;4
1;318;58;25
2;131;58;2
4;101;58;1
6;107;58;3
7;348;58;2
8;232;58;1
13;273;58;2
14;253;58;2
15;240;58;1
16;255;58;1
20;210;58;1
21;432;58;1
1;318;59;26
2;131;59;1
4;101;59;1
13;273;59;2
14;253;59;2
15;240;59;3
16;255;59;4
18;421;59;1
19;395;59;1
20;210;59;1
21;432;59;2
1;318;60;30
7;348;60;1
8;232;60;1
14;253;60;4
16;255;60;2
18;421;60;1
19;395;60;1
1;318;61;25
2;131;61;3
5;99;61;1
6;107;61;5
8;232;61;1
10;357;61;1
14;253;61;3
15;240;61;1
16;255;61;1
18;421;61;1
20;210;61;1
21;432;61;1
1;318;62;24
3;87;62;1
4;101;62;1
6;107;62;3
9;361;62;2
12;175;62;1
14;253;62;2
15;240;62;4
20;210;62;1
1;318;63;27
2;131;63;1
3;87;63;2
5;99;63;1
6;107;63;1
8;232;63;2
12;175;63;1
14;253;63;1
15;240;63;2
16;255;63;2
19;395;63;1
1;318;64;13
2;131;64;1
3;87;64;1
5;99;64;1
6;107;64;1
8;232;64;1
10;357;64;1
13;273;64;1
14;253;64;2
15;240;64;4
16;255;64;1
17;415;64;1
21;432;64;1
1;318;65;21
3;87;65;1
4;101;65;1
5;99;65;1
6;107;65;3
8;232;65;1
14;253;65;1
15;240;65;3
16;255;65;4
20;210;65;1
1;318;66;20
3;87;66;1
4;101;66;1
6;107;66;5
9;361;66;2
14;253;66;3
15;240;66;1
16;255;66;3
20;210;66;1
21;432;66;1
1;318;67;6
2;131;67;1
16;255;67;1
20;210;67;1
1;318;68;5
4;101;68;1
11;196;68;1
18;421;68;1
1;318;69;5
18;421;69;1
15;240;70;1
1;318;71;1
1;318;72;1
9;361;73;1
4;101;74;1
1;318;76;1
2;131;76;1
1;318;77;14
2;131;77;1
4;101;77;1
6;107;77;1
7;348;77;1
12;175;77;1
13;273;77;1
15;240;77;1
1;318;78;6
2;131;78;1
6;107;78;1
9;361;78;1
16;255;78;1
17;415;78;1
1;318;79;14
3;87;79;2
5;99;79;1
6;107;79;1
10;357;79;1
14;253;79;1
21;432;79;1
1;318;80;30
3;87;80;2
6;107;80;2
7;348;80;3
11;196;80;2
14;253;80;2
15;240;80;1
16;255;80;4
17;415;80;1
1;318;81;20
4;101;81;1
6;107;81;4
7;348;81;2
10;357;81;1
11;196;81;1
12;175;81;1
14;253;81;1
15;240;81;2
16;255;81;4
21;432;81;1
1;318;82;21
2;131;82;1
4;101;82;2
6;107;82;4
15;240;82;3
16;255;82;1
1;318;83;16
6;107;83;1
8;232;83;1
9;361;83;1
10;357;83;2
12;175;83;1
14;253;83;2
15;240;83;1
16;255;83;1
17;415;83;1
18;421;83;1
1;318;84;20
3;87;84;1
13;273;84;1
14;253;84;1
15;240;84;1
16;255;84;2
17;415;84;1
20;210;84;1
21;432;84;1
1;318;85;24
2;131;85;2
3;87;85;1
4;101;85;1
5;99;85;2
6;107;85;3
9;361;85;1
11;196;85;1
12;175;85;1
13;273;85;1
14;253;85;2
16;255;85;3
20;210;85;1
1;318;86;31
6;107;86;3
10;357;86;1
14;253;86;3
15;240;86;4
21;432;86;1
1;318;87;27
4;101;87;2
7;348;87;2
10;357;87;1
14;253;87;1
16;255;87;1
18;421;87;1
1;318;88;23
6;107;88;2
8;232;88;2
9;361;88;1
14;253;88;3
16;255;88;2
17;415;88;1
18;421;88;2
20;210;88;1
1;318;89;21
3;87;89;1
6;107;89;1
14;253;89;2
15;240;89;3
16;255;89;1
1;318;90;26
3;87;90;1
6;107;90;1
9;361;90;1
14;253;90;3
15;240;90;2
17;415;90;1
18;421;90;1
1;318;91;4
12;175;91;1
15;240;91;1
1;318;92;5
3;87;92;1
13;273;92;1
1;318;93;5
1;318;94;1
20;210;94;1
1;318;96;1
2;131;97;1
19;395;97;1
1;318;99;1
1;318;100;1
1;318;101;10
9;361;101;1
21;432;101;1
1;318;102;13
2;131;102;1
6;107;102;1
9;361;102;1
10;357;102;1
12;175;102;1
14;253;102;3
20;210;102;1
1;318;103;10
6;107;103;3
11;196;103;1
15;240;103;1
21;432;103;1
1;318;104;25
2;131;104;1
6;107;104;2
7;348;104;1
12;175;104;1
13;273;104;1
14;253;104;2
15;240;104;4
16;255;104;1
17;415;104;1
20;210;104;1
1;318;105;25
6;107;105;1
11;196;105;2
14;253;105;1
15;240;105;3
16;255;105;1
17;415;105;2
21;432;105;1
1;318;106;20
5;99;106;1
6;107;106;2
14;253;106;2
15;240;106;3
16;255;106;2
19;395;106;1
1;318;107;28
3;87;107;1
5;99;107;1
6;107;107;4
14;253;107;2
15;240;107;1
19;395;107;1
20;210;107;1
1;318;108;21
2;131;108;2
5;99;108;3
6;107;108;1
9;361;108;1
11;196;108;1
12;175;108;1
14;253;108;1
15;240;108;2
16;255;108;1
19;395;108;1
1;318;109;23
2;131;109;2
7;348;109;1
10;357;109;1
14;253;109;1
15;240;109;2
1;318;110;25
2;131;110;1
6;107;110;3
7;348;110;1
14;253;110;1
15;240;110;2
18;421;110;1
21;432;110;2
1;318;111;22
6;107;111;3
10;357;111;1
11;196;111;1
14;253;111;3
15;240;111;4
16;255;111;2
17;415;111;1
18;421;111;1
19;395;111;1
1;318;112;9
6;107;112;1
13;273;112;1
14;253;112;1
16;255;112;1
1;318;113;12
3;87;113;1
7;348;113;1
10;357;113;1
12;175;113;1
13;273;113;1
14;253;113;1
20;210;113;1
1;318;114;14
3;87;114;1
5;99;114;1
6;107;114;1
7;348;114;1
9;361;114;1
12;175;114;1
14;253;114;2
16;255;114;3
17;415;114;1
20;210;114;2
1;318;115;3
6;107;115;1
1;318;116;4
6;107;116;1
1;318;117;4
6;107;117;1
10;357;117;1
14;253;117;1
1;318;119;1
1;318;120;1
1;318;121;2
1;318;122;2
18;421;122;1
20;210;122;1
1;318;125;6
7;348;125;1
11;196;125;1
14;253;125;1
1;318;126;4
6;107;126;2
19;395;126;1
1;318;127;2
16;255;127;2
1;318;128;7
6;107;128;1
14;253;128;2
1;318;129;6
3;87;129;1
6;107;129;1
19;395;129;1
20;210;129;1
1;318;130;3
13;273;130;1
17;415;130;1
18;421;130;1
19;395;130;2
1;318;131;5
8;232;131;1
14;253;131;1
15;240;131;1
1;318;132;5
3;87;132;1
6;107;132;1
10;357;132;1
11;196;132;1
13;273;132;1
16;255;132;1
1;318;133;2
11;196;133;1
14;253;133;1
21;432;133;1
1;318;134;2
5;99;134;1
14;253;134;2
21;432;134;2
1;318;135;17
4;101;135;1
6;107;135;1
18;421;135;1
1;318;136;10
5;99;136;1
6;107;136;1
17;415;136;1
19;395;136;1
1;318;137;4
8;232;137;1
17;415;137;1
1;318;138;3
13;273;138;2
14;253;138;1
15;240;138;1
18;421;138;1
1;318;139;1
15;240;139;1
1;318;140;1
14;253;140;1
1;318;141;1
7;348;141;1
12;175;141;1
21;432;143;1
1;318;145;1
1;318;149;2
12;175;149;1
1;318;150;1
7;348;150;1
1;318;151;2
16;255;151;1
1;318;152;6
6;107;152;1
9;361;152;1
14;253;152;1
1;318;153;2
1;318;154;5
6;107;154;1
19;395;154;1
1;318;155;1
8;232;155;1
13;273;155;1
15;240;155;1
1;318;156;4
6;107;156;1
16;255;156;1
18;421;156;1
1;318;157;5
7;348;157;1
14;253;157;1
15;240;157;2
16;255;157;1
1;318;158;1
16;255;158;2
1;318;159;6
2;131;159;1
6;107;159;1
9;361;159;1
20;210;159;1
1;318;160;5
7;348;160;1
10;357;160;1
14;253;160;1
17;415;160;2
1;318;161;4
5;99;161;1
9;361;161;1
14;253;161;1
19;395;161;1
1;318;162;7
1;318;163;3
16;255;163;2
1;318;164;3
10;357;164;1
14;253;164;1
1;318;165;3
17;415;165;1
1;318;166;1
