i;j;t;demand
12;125;112;1
12;137;1;1
12;204;160;1
12;206;106;1
12;207;62;1
12;244;139;1
12;314;82;1
12;318;95;1
12;344;37;1
12;344;113;1
12;351;88;1
12;374;0;1
12;392;115;1
12;399;12;1
12;431;41;1
12;431;83;1
12;431;135;1
13;5;39;1
13;5;157;1
13;14;90;1
13;27;158;1
13;30;101;1
13;47;69;1
13;47;126;1
13;63;67;1
13;109;74;1
13;121;83;1
13;122;108;1
13;124;109;1
13;134;145;1
13;136;83;1
13;137;7;1
13;137;119;1
13;143;110;1
13;144;161;1
13;156;71;1
13;189;94;1
13;263;57;1
13;305;92;1
13;312;68;1
13;316;7;1
13;348;124;1
13;349;134;1
13;357;144;1
13;375;44;1
13;382;15;1
13;389;114;1
13;423;133;1
14;9;157;1
14;16;79;1
14;18;89;1
14;30;49;1
14;38;138;1
14;53;159;1
14;74;97;1
14;92;88;1
14;95;100;1
14;111;117;1
14;140;129;1
14;141;104;1
14;141;163;1
14;153;121;1
14;161;163;1
14;184;19;1
14;310;163;1
14;311;47;1
14;332;35;1
14;348;6;1
14;348;127;1
14;365;42;1
14;386;10;1
14;396;83;1
15;10;84;1
15;25;138;1
15;29;155;1
15;33;165;1
15;44;43;1
15;71;43;1
15;100;44;1
15;111;8;1
15;141;44;1
15;203;43;1
15;324;74;1
15;356;144;1
15;387;76;1
16;8;155;1
16;10;23;1
16;12;137;1
16;26;9;1
16;30;151;1
16;31;164;1
16;43;37;1
16;43;134;1
16;74;104;1
16;78;89;1
16;103;133;1
16;112;109;1
16;122;17;1
16;130;22;1
16;134;142;1
16;137;95;1
16;138;87;1
16;138;107;1
16;144;70;1
16;155;114;1
16;304;163;1
16;325;162;1
16;336;89;1
16;337;67;1
16;340;16;1
16;378;86;1
16;403;145;1
16;407;142;1
16;409;161;1
16;431;10;1
16;431;104;1
16;431;160;1
17;1;114;1
17;4;47;1
17;12;111;1
17;18;20;1
17;18;105;1
17;42;43;1
17;99;42;1
17;101;33;1
17;102;142;1
17;108;117;1
17;109;149;1
17;113;20;1
17;125;20;1
17;230;164;1
17;253;162;1
17;306;47;1
17;312;113;1
17;315;138;1
17;318;40;1
17;344;46;1
17;375;17;1
17;394;61;1
18;13;62;1
18;21;57;1
18;31;15;1
18;109;5;1
18;185;158;1
18;191;62;1
18;232;108;1
18;302;64;1
18;318;99;1
18;377;105;1
19;14;139;1
19;23;158;1
19;50;163;1
19;114;7;1
19;142;59;1
19;168;94;1
19;173;13;1
19;313;143;1
19;314;25;1
19;324;60;1
19;330;70;1
19;346;161;1
19;353;69;1
19;426;108;1
20;27;139;1
20;28;158;1
20;29;167;1
20;35;92;1
20;44;161;1
20;45;9;1
20;51;139;1
20;92;131;1
20;110;137;1
20;111;129;1
20;126;74;1
20;128;44;1
20;133;40;1
20;136;18;1
20;140;158;1
20;215;82;1
20;349;13;1
20;393;91;1
21;10;69;1
21;20;2;1
21;25;159;1
21;28;31;1
21;29;163;1
21;34;47;1
21;45;163;1
21;48;7;1
21;53;45;1
21;56;115;1
21;74;141;1
21;82;29;1
21;92;123;1
21;93;131;1
21;103;77;1
21;135;13;1
21;147;143;1
21;153;72;1
21;157;47;1
21;165;114;1
21;228;13;1
21;307;92;1
21;332;21;1
21;338;21;1
21;348;122;1
21;383;37;1
21;391;41;1
21;428;65;1
21;431;43;1
21;431;54;1
22;8;159;1
22;41;138;1
22;80;131;1
22;98;146;1
22;307;93;1
22;310;167;1
22;317;77;1
23;20;155;1
23;27;108;1
23;31;46;1
23;34;158;1
23;51;6;1
23;100;21;1
23;106;84;1
23;129;111;1
23;141;98;1
23;352;43;1
23;389;15;1
24;28;118;1
24;44;122;1
24;49;17;1
24;81;159;1
24;124;61;1
24;131;119;1
24;132;87;1
24;135;87;1
24;154;158;1
24;209;120;1
24;214;68;1
24;247;84;1
24;279;95;1
24;303;140;1
24;348;86;1
24;350;60;1
24;353;91;1
24;388;11;1
25;1;68;1
25;10;135;1
25;23;89;1
25;44;160;1
25;47;114;1
25;85;96;1
25;105;63;1
25;108;8;1
25;128;121;1
25;140;38;1
25;142;0;1
25;164;46;1
25;208;120;1
25;211;164;1
25;304;12;1
25;325;23;1
25;349;85;1
25;351;9;1
25;375;55;1
25;393;67;1
25;426;119;1
25;431;157;1
25;434;54;1
26;4;118;1
26;10;146;1
26;13;8;1
26;15;68;1
26;29;29;1
26;68;54;1
26;72;43;1
26;85;71;1
26;86;139;1
26;88;69;1
26;94;76;1
26;95;144;1
26;106;9;1
26;109;31;1
26;110;117;1
26;113;144;1
26;116;112;1
26;121;42;1
26;143;26;1
26;143;95;1
26;147;16;1
26;152;0;1
26;154;115;1
26;164;22;1
26;165;22;1
26;185;141;1
26;203;49;1
26;204;20;1
26;204;50;1
26;225;109;1
26;230;94;1
26;302;167;1
26;305;36;1
26;309;86;1
26;315;29;1
26;316;25;1
26;317;138;1
26;321;139;1
26;322;10;1
26;323;142;1
26;347;134;1
26;348;14;1
26;373;116;1
26;387;101;1
26;389;104;1
26;394;74;1
26;401;165;1
26;414;133;1
26;429;82;1
26;431;56;1
26;431;108;1
26;431;158;1
26;433;102;1
27;8;69;1
27;15;141;1
27;51;6;1
27;62;39;1
27;84;90;1
27;105;89;1
27;173;22;1
27;200;94;1
27;218;43;1
27;249;18;1
27;261;75;1
27;303;66;1
27;322;47;1
27;324;47;1
27;348;18;1
27;352;119;1
27;376;134;1
27;379;91;1
27;423;116;1
28;25;94;1
28;75;88;1
28;75;157;1
28;96;38;1
28;102;142;1
28;109;40;1
28;115;120;1
28;138;67;1
28;305;20;1
28;307;68;1
28;325;114;1
28;349;45;1
28;366;114;1
28;372;120;1
28;404;134;1
28;410;143;1
28;431;14;1
29;6;54;1
29;14;140;1
29;18;91;1
29;28;121;1
29;34;110;1
29;41;106;1
29;71;114;1
29;98;10;1
29;98;103;1
29;101;43;1
29;110;116;1
29;114;66;1
29;124;68;1
29;136;81;1
29;151;121;1
29;155;21;1
29;155;96;1
29;159;48;1
29;162;118;1
29;176;120;1
29;184;4;1
29;192;160;1
29;204;167;1
29;245;81;1
29;261;103;1
29;275;32;1
29;313;109;1
29;318;160;1
29;320;55;1
29;342;165;1
29;348;114;1
29;348;144;1
29;349;160;1
29;375;17;1
29;376;14;1
29;396;55;1
29;407;66;1
29;407;141;1
29;426;68;1
29;431;34;1
29;431;153;1
29;433;10;1
30;9;140;1
30;16;42;1
30;43;138;1
30;48;140;1
30;61;116;1
30;107;165;1
30;138;93;1
30;166;46;1
30;168;118;1
30;207;69;1
30;254;70;1
30;263;41;1
30;269;67;1
30;276;44;1
30;321;67;1
30;321;141;1
30;348;157;1
30;350;84;1
30;375;142;1
30;406;19;1
30;431;141;1
31;4;67;1
31;15;111;1
31;44;40;1
31;76;167;1
31;98;138;1
31;134;164;1
31;135;89;1
31;138;166;1
31;192;114;1
31;201;140;1
31;235;141;1
31;243;134;1
31;249;136;1
31;256;161;1
31;306;138;1
31;313;45;1
31;366;47;1
31;369;138;1
31;373;145;1
31;375;82;1
31;376;42;1
31;389;114;1
31;393;114;1
31;406;45;1
31;432;129;1
32;20;160;1
32;25;136;1
32;29;112;1
32;54;115;1
32;61;66;1
32;85;95;1
32;101;142;1
32;108;92;1
32;129;91;1
32;218;64;1
32;239;31;1
32;241;5;1
32;243;118;1
32;301;114;1
32;320;111;1
32;343;20;1
32;344;11;1
32;345;32;1
32;351;160;1
32;366;115;1
32;376;50;1
32;402;68;1
32;403;90;1
32;419;44;1
32;431;9;1
33;12;42;1
33;69;39;1
33;104;116;1
33;108;118;1
33;139;20;1
33;178;17;1
33;313;141;1
33;319;163;1
33;403;138;1
33;408;141;1
33;431;89;1
34;5;162;1
34;29;93;1
34;61;135;1
34;83;109;1
34;111;167;1
34;113;159;1
34;139;79;1
34;177;24;1
34;185;166;1
34;243;64;1
34;272;88;1
34;312;84;1
34;365;164;1
34;395;154;1
34;412;90;1
34;421;62;1
34;431;153;1
35;32;94;1
35;97;119;1
35;107;46;1
35;129;117;1
35;143;73;1
35;143;167;1
35;281;117;1
35;308;22;1
35;321;165;1
35;325;96;1
35;344;32;1
35;353;76;1
35;360;73;1
35;394;86;1
35;397;166;1
35;431;59;1
36;2;14;1
36;7;165;1
36;97;47;1
36;169;144;1
36;242;5;1
36;407;37;1
36;407;139;1
36;431;90;1
37;12;91;1
37;53;145;1
37;85;8;1
37;95;65;1
37;128;34;1
37;129;157;1
37;142;93;1
37;161;92;1
37;183;91;1
37;245;80;1
37;319;81;1
37;351;164;1
37;378;162;1
37;384;142;1
37;405;92;1
37;422;140;1
37;431;65;1
37;431;161;1
38;1;118;1
38;4;113;1
38;9;76;1
38;15;66;1
38;18;6;1
38;41;118;1
38;48;86;1
38;54;21;1
38;62;154;1
38;70;107;1
38;79;139;1
38;88;67;1
38;111;95;1
38;122;141;1
38;133;57;1
38;134;44;1
38;134;130;1
38;139;60;1
38;142;166;1
38;191;109;1
38;220;71;1
38;231;62;1
38;245;165;1
38;281;116;1
38;317;9;1
38;389;113;1
38;393;22;1
38;426;138;1
38;431;91;1
38;431;102;1
38;431;109;1
39;13;68;1
39;40;113;1
39;41;165;1
39;42;22;1
39;44;116;1
39;45;145;1
39;62;33;1
39;64;33;1
39;71;6;1
39;76;140;1
39;103;17;1
39;116;115;1
39;125;113;1
39;126;21;1
39;128;67;1
39;134;67;1
39;135;58;1
39;147;95;1
39;149;32;1
39;178;19;1
39;195;69;1
39;277;130;1
39;322;104;1
39;365;139;1
39;431;81;1
40;29;107;1
40;45;161;1
40;52;12;1
40;53;162;1
40;102;119;1
40;105;39;1
40;149;115;1
40;318;80;1
40;319;109;1
40;321;117;1
40;323;60;1
40;357;2;1
40;422;57;1
40;431;29;1
41;1;33;1
41;16;10;1
41;37;59;1
41;43;54;1
41;54;161;1
41;85;10;1
41;103;43;1
41;109;136;1
41;138;32;1
41;142;163;1
41;152;98;1
41;181;112;1
41;201;98;1
41;226;73;1
41;302;145;1
41;303;98;1
41;316;139;1
41;335;22;1
41;426;83;1
42;25;139;1
42;45;69;1
42;45;135;1
42;50;54;1
42;55;32;1
42;60;149;1
42;74;142;1
42;102;113;1
42;107;108;1
42;110;133;1
42;112;30;1
42;142;160;1
42;188;166;1
42;312;18;1
42;315;42;1
42;347;68;1
42;383;33;1
42;406;120;1
42;424;144;1
42;431;129;1
43;8;17;1
43;16;7;1
43;19;16;1
43;29;164;1
43;34;24;1
43;52;42;1
43;67;139;1
43;80;17;1
43;89;33;1
43;112;43;1
43;118;115;1
43;129;48;1
43;132;163;1
43;134;108;1
43;135;138;1
43;137;135;1
43;187;8;1
43;187;35;1
43;194;121;1
43;194;160;1
43;197;111;1
43;217;86;1
43;272;96;1
43;272;160;1
43;340;105;1
43;346;93;1
43;348;150;1
43;349;139;1
43;351;86;1
43;358;144;1
43;404;67;1
43;417;30;1
43;431;39;1
43;431;59;1
44;6;134;1
44;15;23;1
44;15;33;1
44;43;89;1
44;55;68;1
44;59;67;1
44;72;113;1
44;79;89;1
44;87;161;1
44;96;148;1
44;98;47;1
44;135;28;1
44;140;45;1
44;143;115;1
44;180;104;1
44;196;138;1
44;218;96;1
44;261;65;1
44;269;90;1
44;322;139;1
44;325;69;1
44;331;116;1
44;377;164;1
44;388;19;1
44;419;81;1
44;431;35;1
45;1;164;1
45;7;22;1
45;28;137;1
45;57;47;1
45;64;116;1
45;74;142;1
45;82;115;1
45;86;113;1
45;96;61;1
45;100;43;1
45;104;18;1
45;105;46;1
45;105;129;1
45;109;105;1
45;110;155;1
45;113;24;1
45;113;45;1
45;114;44;1
45;123;19;1
45;128;112;1
45;136;136;1
45;143;60;1
45;156;90;1
45;162;166;1
45;237;94;1
45;259;32;1
45;282;71;1
45;313;65;1
45;317;90;1
45;329;116;1
45;338;17;1
45;339;133;1
45;341;64;1
45;342;66;1
45;346;22;1
45;348;19;1
45;387;142;1
45;407;68;1
45;419;125;1
45;423;93;1
45;431;88;1
45;431;114;1
46;6;32;1
46;14;7;1
46;17;104;1
46;25;91;1
46;28;128;1
46;39;89;1
46;53;139;1
46;67;130;1
46;72;85;1
46;97;57;1
46;139;18;1
46;140;165;1
46;155;22;1
46;274;21;1
46;343;139;1
46;348;17;1
46;351;140;1
46;353;82;1
46;370;45;1
46;431;129;1
47;3;48;1
47;4;155;1
47;14;92;1
47;16;102;1
47;27;167;1
47;33;106;1
47;58;116;1
47;89;91;1
47;98;118;1
47;109;140;1
47;130;62;1
47;135;68;1
47;136;113;1
47;142;67;1
47;142;110;1
47;158;156;1
47;159;67;1
47;315;136;1
47;317;65;1
47;405;165;1
47;419;134;1
47;428;105;1
48;9;91;1
48;11;142;1
48;16;6;1
48;29;105;1
48;31;66;1
48;34;45;1
48;40;140;1
48;43;144;1
48;48;80;1
48;70;44;1
48;71;20;1
48;87;21;1
48;88;91;1
48;101;161;1
48;107;138;1
48;125;116;1
48;132;119;1
48;142;141;1
48;149;162;1
48;163;140;1
48;202;57;1
48;230;167;1
48;271;71;1
48;304;114;1
48;347;132;1
48;347;142;1
48;431;13;1
48;431;34;1
48;431;134;1
49;5;88;1
49;10;84;1
49;14;35;1
49;42;143;1
49;44;65;1
49;51;65;1
49;54;68;1
49;54;164;1
49;74;44;1
49;85;116;1
49;87;66;1
49;96;67;1
49;102;41;1
49;116;129;1
49;129;147;1
49;130;157;1
49;139;126;1
49;142;21;1
49;152;43;1
49;176;148;1
49;207;20;1
49;213;162;1
49;266;122;1
49;327;6;1
49;332;31;1
49;332;44;1
49;348;43;1
49;349;69;1
49;381;68;1
49;411;1;1
49;411;43;1
49;431;17;1
49;431;92;1
49;431;141;1
50;2;162;1
50;3;120;1
50;30;103;1
50;58;81;1
50;95;105;1
50;98;116;1
50;98;164;1
50;100;11;1
50;106;68;1
50;123;102;1
50;125;19;1
50;125;93;1
50;131;141;1
50;132;71;1
50;140;71;1
50;148;80;1
50;148;116;1
50;210;166;1
50;316;12;1
50;373;143;1
50;388;153;1
50;392;42;1
50;398;45;1
50;416;45;1
50;426;138;1
50;431;129;1
51;11;92;1
51;12;92;1
51;26;141;1
51;41;141;1
51;51;86;1
51;55;112;1
51;74;146;1
51;74;167;1
51;86;103;1
51;96;45;1
51;104;70;1
51;106;55;1
51;124;163;1
51;128;165;1
51;135;111;1
51;138;10;1
51;138;119;1
51;139;42;1
51;141;24;1
51;141;56;1
51;142;140;1
51;148;23;1
51;152;47;1
51;174;66;1
51;188;139;1
51;227;116;1
51;234;36;1
51;234;118;1
51;237;104;1
51;243;138;1
51;257;152;1
51;272;99;1
51;278;92;1
51;303;135;1
51;312;93;1
51;315;111;1
51;317;40;1
51;318;57;1
51;320;48;1
51;330;158;1
51;337;38;1
51;337;91;1
51;346;20;1
51;352;66;1
51;364;12;1
51;378;36;1
51;382;65;1
51;384;165;1
51;391;68;1
51;402;95;1
51;413;90;1
51;417;129;1
51;429;135;1
51;431;15;1
51;431;163;1
51;433;102;1
52;18;110;1
52;27;69;1
52;32;48;1
52;91;44;1
52;91;157;1
52;96;62;1
52;104;87;1
52;105;32;1
52;114;92;1
52;133;34;1
52;134;122;1
52;136;18;1
52;139;41;1
52;156;95;1
52;159;91;1
52;168;22;1
52;178;20;1
52;178;93;1
52;204;56;1
52;215;39;1
52;218;12;1
52;242;124;1
52;308;62;1
52;369;48;1
52;382;116;1
52;424;130;1
53;1;112;1
53;8;118;1
53;14;65;1
53;14;154;1
53;21;45;1
53;31;53;1
53;32;95;1
53;33;5;1
53;34;137;1
53;52;8;1
53;105;69;1
53;106;107;1
53;114;144;1
53;137;116;1
53;167;34;1
53;171;43;1
53;194;81;1
53;271;110;1
53;275;102;1
53;319;90;1
53;332;115;1
53;383;1;1
53;399;23;1
53;417;163;1
53;431;34;1
53;431;134;1
54;12;119;1
54;18;164;1
54;21;116;1
54;30;104;1
54;33;112;1
54;34;56;1
54;34;103;1
54;35;105;1
54;35;165;1
54;65;59;1
54;81;66;1
54;92;135;1
54;101;19;1
54;103;91;1
54;104;110;1
54;107;96;1
54;113;36;1
54;138;66;1
54;152;115;1
54;155;17;1
54;190;23;1
54;195;144;1
54;211;64;1
54;239;148;1
54;281;102;1
54;337;20;1
54;346;79;1
54;378;43;1
54;413;117;1
54;431;155;1
55;8;9;1
55;38;108;1
55;46;106;1
55;56;140;1
55;57;133;1
55;60;104;1
55;114;64;1
55;157;121;1
55;158;62;1
55;263;91;1
55;300;23;1
55;309;139;1
55;313;19;1
55;316;131;1
55;325;88;1
55;340;153;1
55;343;106;1
55;345;33;1
55;373;21;1
55;373;43;1
55;416;115;1
55;423;131;1
55;431;105;1
56;12;162;1
56;65;157;1
56;79;21;1
56;88;158;1
56;96;140;1
56;103;141;1
56;114;111;1
56;126;101;1
56;148;159;1
56;182;43;1
56;197;93;1
56;226;2;1
56;227;34;1
56;333;151;1
56;361;94;1
56;372;47;1
56;431;110;1
57;14;142;1
57;51;162;1
57;83;53;1
57;97;110;1
57;101;30;1
57;102;117;1
57;107;85;1
57;125;160;1
57;130;114;1
57;131;112;1
57;151;155;1
57;153;162;1
57;159;159;1
57;231;81;1
57;255;112;1
57;356;56;1
57;357;152;1
57;366;134;1
57;369;59;1
57;431;101;1
57;431;139;1
58;28;45;1
58;96;11;1
58;369;141;1
59;38;85;1
59;61;106;1
59;89;102;1
59;162;18;1
59;224;157;1
59;232;144;1
59;359;159;1
60;7;127;1
60;21;19;1
60;27;69;1
60;29;160;1
60;38;114;1
60;39;17;1
60;59;130;1
60;67;139;1
60;72;44;1
60;83;72;1
60;101;16;1
60;103;82;1
60;106;154;1
60;117;156;1
60;127;158;1
60;151;17;1
60;239;17;1
60;313;32;1
60;313;65;1
60;321;61;1
60;324;167;1
60;388;2;1
60;431;33;1
61;63;102;1
61;82;115;1
61;111;79;1
61;113;158;1
61;118;115;1
61;122;39;1
61;122;69;1
61;129;88;1
61;146;137;1
61;152;106;1
61;154;163;1
61;188;141;1
61;194;96;1
61;200;165;1
61;216;57;1
61;218;131;1
61;250;110;1
61;326;22;1
61;333;66;1
61;344;135;1
61;348;135;1
61;356;40;1
61;357;154;1
61;372;43;1
61;384;91;1
61;420;116;1
62;45;45;1
62;65;20;1
62;71;46;1
62;89;129;1
62;91;70;1
62;104;32;1
62;114;140;1
62;124;68;1
62;130;105;1
62;187;7;1
62;199;30;1
62;321;17;1
62;357;7;1
62;361;98;1
62;422;104;1
63;71;117;1
63;94;80;1
63;132;103;1
63;143;111;1
63;227;103;1
63;245;104;1
63;431;20;1
64;44;126;1
64;52;140;1
64;68;47;1
64;72;115;1
64;88;103;1
64;102;34;1
64;109;108;1
64;115;108;1
64;125;164;1
64;142;143;1
64;168;21;1
64;184;113;1
64;192;134;1
64;193;32;1
64;264;114;1
64;282;93;1
64;316;116;1
64;330;114;1
64;431;9;1
64;431;106;1
64;431;128;1
65;56;132;1
65;95;88;1
65;106;140;1
65;110;146;1
65;112;85;1
65;114;93;1
65;121;92;1
65;127;142;1
65;135;108;1
65;188;103;1
65;193;64;1
65;223;108;1
65;228;84;1
65;236;143;1
65;260;135;1
65;333;141;1
65;344;141;1
65;363;105;1
66;4;12;1
66;28;142;1
66;61;90;2
66;76;166;1
66;108;156;1
66;143;44;1
66;149;20;1
66;159;160;1
66;170;105;1
66;201;158;1
66;225;80;1
66;257;18;1
66;327;166;1
66;356;103;1
66;358;47;1
66;431;160;1
67;9;45;1
67;11;104;1
67;74;28;1
67;85;116;1
67;89;13;1
67;97;115;1
67;98;129;1
67;119;134;1
67;143;113;1
67;146;58;1
67;149;80;1
67;159;66;1
67;167;45;1
67;188;76;1
67;206;130;1
67;223;42;1
67;229;18;1
67;316;85;1
67;325;45;1
67;341;111;1
67;365;120;1
67;371;140;1
67;374;111;1
67;401;115;1
67;431;10;1
67;431;13;1
68;8;42;1
68;48;141;1
68;58;91;1
68;90;107;1
68;96;129;1
68;133;139;1
68;138;33;1
68;144;69;1
68;152;108;1
68;158;87;1
68;161;93;1
68;181;30;1
68;242;113;1
68;409;141;1
68;428;55;1
68;431;39;1
68;431;159;1
69;5;91;1
69;60;45;1
69;61;85;1
69;71;37;1
69;72;67;1
69;82;155;1
69;89;105;1
69;91;67;1
69;104;105;1
69;127;116;1
69;156;157;1
69;158;148;1
69;274;117;1
69;282;117;1
69;309;46;1
69;337;70;1
69;419;164;1
69;431;9;1
70;15;45;1
70;29;95;1
70;38;41;1
70;55;128;1
70;55;160;1
70;72;58;1
70;72;140;1
70;95;90;1
70;98;32;1
70;98;83;1
70;164;65;1
70;220;167;1
70;223;60;1
70;312;136;1
70;316;12;1
71;16;114;1
71;18;117;1
71;34;117;1
71;41;90;1
71;56;9;1
71;88;115;1
71;97;5;1
71;104;159;1
71;108;72;1
71;108;96;1
71;110;164;1
71;113;165;1
71;124;46;1
71;145;165;1
71;182;57;1
71;245;10;1
71;302;91;1
71;308;116;1
71;316;24;1
71;346;166;1
71;358;64;1
71;387;145;1
71;431;88;1
72;13;18;1
72;34;22;1
72;39;21;1
72;93;131;1
72;94;37;1
72;103;57;1
72;104;22;1
72;105;110;1
72;108;31;1
72;129;116;1
72;131;94;1
72;146;159;1
72;148;5;1
72;171;161;1
72;172;32;1
72;188;5;1
72;221;139;1
72;260;153;1
72;310;139;1
72;331;12;1
72;332;62;1
72;337;115;1
72;341;58;1
72;355;83;1
72;365;21;1
72;370;83;1
72;384;94;1
72;431;92;1
73;13;95;1
73;55;141;1
73;56;164;1
73;62;81;1
73;73;153;1
73;82;78;1
73;93;131;1
73;117;131;1
73;130;139;1
73;147;117;1
73;151;112;1
73;159;77;1
73;193;85;1
73;217;69;1
73;248;35;1
73;281;139;1
73;322;35;1
73;347;95;1
73;369;79;1
73;375;116;1
73;431;105;1
73;431;133;1
74;23;34;1
74;65;57;1
74;78;114;1
74;82;73;1
74;94;127;1
74;102;22;1
74;103;120;1
74;104;6;1
74;113;83;1
74;131;139;1
74;152;140;1
74;244;42;1
74;254;117;1
74;329;116;1
74;330;81;1
74;330;92;1
74;346;90;1
74;358;38;1
74;364;11;1
75;12;20;1
75;51;66;1
75;65;117;1
75;66;157;1
75;74;113;1
75;85;36;1
75;85;118;1
75;98;143;1
75;109;61;1
75;120;11;1
75;122;39;1
75;122;88;1
75;140;92;1
75;170;111;1
75;192;95;1
75;199;152;1
75;314;14;1
75;319;83;1
75;431;76;1
76;66;140;1
76;76;113;1
76;89;21;1
76;104;144;1
76;106;104;1
76;119;106;1
76;141;31;1
76;142;139;1
76;217;140;1
76;233;30;1
76;273;22;1
76;320;138;1
76;322;7;1
76;361;92;1
76;373;21;1
76;409;91;1
76;434;38;1
77;61;38;1
77;87;95;1
77;97;95;1
77;329;84;1
78;1;16;1
78;22;67;1
78;64;13;1
