i;j;t;demand
175;121;18;1
425;431;134;1
30;1;42;1
29;431;10;1
25;8;159;1
115;86;156;1
203;226;71;1
131;326;19;1
89;75;115;1
104;168;156;1
319;181;160;1
81;70;63;1
79;157;103;1
111;277;83;1
137;92;67;1
99;431;82;1
387;138;67;1
114;12;143;1
127;98;137;1
101;300;143;1
136;417;34;1
99;45;104;1
311;172;120;1
345;170;121;1
345;47;161;1
133;321;161;1
46;142;67;1
192;224;144;1
77;151;161;1
305;431;103;1
103;213;15;1
247;105;45;1
203;177;33;1
202;431;35;1
19;239;21;1
93;116;164;1
337;101;93;1
88;405;16;1
176;306;140;1
388;352;44;1
151;73;91;1
383;315;80;1
141;212;142;1
174;431;14;1
394;16;32;1
117;85;22;1
125;347;111;1
261;239;36;1
375;431;65;1
130;122;91;1
165;169;59;1
420;266;133;1
309;434;141;1
323;404;117;1
200;97;111;1
125;201;115;1
178;119;129;1
124;319;37;1
335;136;139;1
415;319;42;1
46;226;108;1
47;128;165;1
155;230;33;1
315;216;22;1
246;230;19;1
52;310;43;1
407;300;46;1
324;124;113;1
108;202;36;1
51;96;115;1
56;255;36;1
25;266;122;1
302;434;77;1
142;100;15;1
130;131;155;1
426;139;116;1
415;391;135;1
111;93;131;1
95;55;66;1
340;6;83;1
88;366;37;1
134;331;140;1
172;319;67;1
109;103;63;1
45;98;8;1
68;338;135;1
98;311;95;1
344;231;117;1
93;272;115;1
128;129;140;1
387;89;16;1
340;97;120;1
132;93;104;1
96;178;161;1
53;19;77;1
164;200;108;1
278;410;16;1
244;135;67;1
269;257;89;1
242;348;115;1
351;322;142;1
181;113;93;1
329;141;29;1
231;426;68;1
88;268;118;1
413;419;9;1
245;305;85;1
100;247;118;1
192;350;116;1
370;94;57;1
185;185;53;1
109;107;65;1
113;189;66;1
102;385;44;1
321;431;19;1
401;270;20;1
41;192;15;1
86;334;162;1
401;228;114;1
154;103;41;1
109;243;137;1
388;276;33;1
269;191;110;1
125;93;68;1
177;393;116;1
106;335;105;1
78;233;84;1
359;200;22;1
330;83;78;1
79;105;46;1
325;43;112;1
131;41;89;1
16;108;66;1
63;252;133;1
166;303;64;1
51;135;149;1
275;256;10;1
382;85;104;1
312;423;91;1
53;388;163;1
305;268;47;1
88;317;66;1
371;141;98;1
43;92;62;1
313;297;81;1
114;414;34;1
102;103;110;1
324;31;157;1
124;213;120;1
223;135;166;1
214;226;139;1
9;317;157;1
110;419;52;1
187;269;56;1
267;94;80;1
365;111;166;1
164;310;112;1
114;96;15;1
99;247;31;1
111;176;68;1
388;108;165;1
350;382;1;1
26;412;70;1
271;322;135;1
332;48;6;1
328;104;63;1
106;37;157;1
184;234;97;1
369;226;41;1
5;111;118;1
152;185;120;1
98;342;16;1
124;94;96;1
304;86;20;1
111;105;31;1
128;189;23;1
130;106;64;1
314;10;9;1
102;107;109;1
431;99;40;1
197;233;32;1
137;60;19;1
98;349;94;1
12;337;20;1
380;117;56;1
412;8;0;1
431;307;65;1
245;355;15;1
25;104;141;1
165;255;72;1
347;431;100;1
126;358;140;1
2;65;63;1
417;300;7;1
387;94;152;1
354;140;44;1
381;113;66;1
93;174;66;1
254;267;92;1
100;174;96;1
107;137;91;1
316;386;67;1
150;431;31;1
348;130;9;1
95;426;159;1
299;142;159;1
109;22;129;1
40;344;19;1
89;126;161;1
306;201;110;1
270;426;133;1
204;82;157;1
130;339;42;1
216;138;18;1
125;82;107;1
141;237;116;1
95;431;117;1
201;93;145;1
237;168;162;1
346;163;142;1
304;268;96;1
240;115;68;1
136;411;107;1
136;111;52;1
319;389;90;1
176;124;87;1
168;70;12;1
34;25;38;1
84;131;44;1
301;203;30;1
203;225;15;1
274;186;38;1
27;116;9;1
386;206;20;1
368;252;57;1
376;91;94;1
295;232;81;1
431;312;157;1
89;426;47;1
431;115;82;1
421;127;25;1
222;230;128;1
109;131;87;1
71;431;104;1
111;45;116;1
96;93;19;1
238;401;135;1
107;127;105;1
178;51;142;1
303;401;114;1
92;218;17;1
24;143;66;1
117;26;111;1
220;219;20;1
24;359;137;1
100;389;167;1
329;372;155;1
132;113;163;1
186;306;121;1
310;195;109;1
263;124;162;1
32;22;138;1
255;423;95;1
148;137;154;1
409;81;72;1
203;346;161;1
203;332;43;1
364;138;138;1
9;47;22;1
106;124;87;1
21;9;160;1
417;404;115;1
142;415;70;1
161;113;44;1
88;134;92;1
111;319;121;1
412;433;100;1
240;391;112;1
89;107;58;1
404;204;90;1
14;431;19;1
91;431;84;1
402;251;167;1
309;308;140;1
189;307;62;1
185;49;10;1
306;42;118;1
100;243;58;1
317;127;70;1
125;423;111;1
306;198;138;1
90;196;114;1
147;149;80;1
266;111;64;1
94;272;65;1
355;255;63;1
94;262;111;1
368;116;155;1
102;218;68;1
75;329;158;1
141;273;73;1
197;175;4;1
98;175;156;1
116;337;21;1
86;221;42;1
431;171;118;1
331;352;95;1
53;137;70;1
120;128;11;1
399;431;132;1
120;271;123;1
93;319;145;1
129;336;32;1
103;83;40;1
98;3;136;1
110;188;43;1
96;256;105;1
32;316;161;1
106;96;12;1
32;319;154;1
270;93;84;1
74;387;20;1
182;179;133;1
390;54;92;1
30;263;139;1
135;88;116;1
403;190;152;1
146;59;56;1
123;386;95;1
352;111;41;1
273;384;14;1
203;140;162;1
233;95;77;1
373;6;109;1
64;4;118;1
350;270;140;1
110;322;105;1
415;434;6;1
64;254;15;1
45;178;21;1
421;253;58;1
203;414;103;1
322;431;11;1
400;409;134;1
402;117;166;1
142;324;138;1
98;45;152;1
357;261;109;1
111;247;167;1
103;412;32;1
243;250;116;1
104;120;157;1
416;85;165;1
197;229;69;1
96;344;13;1
102;176;98;1
407;391;47;1
181;306;166;1
181;206;81;1
104;121;113;1
105;111;80;1
87;127;149;1
428;238;5;1
49;129;117;1
255;248;147;1
139;93;66;1
315;296;30;1
134;407;167;1
233;130;160;1
51;221;163;1
244;431;45;1
395;85;6;1
238;337;115;1
303;203;11;1
127;431;114;1
113;130;128;1
414;91;15;1
110;185;40;1
313;115;107;1
416;29;40;1
308;401;12;1
173;394;154;1
203;411;158;1
315;125;164;1
195;191;159;1
104;203;60;1
35;79;10;1
97;107;66;1
210;342;20;1
74;88;30;1
380;96;129;1
217;424;70;1
153;227;118;1
62;313;140;1
317;318;66;1
179;198;70;1
192;92;67;1
103;78;65;1
344;143;115;1
309;431;90;1
59;61;18;1
241;91;83;1
108;431;85;1
193;2;71;1
261;431;34;1
99;409;24;1
112;211;58;1
124;9;117;1
24;130;69;1
120;382;61;1
431;271;19;1
160;412;86;1
125;172;119;1
300;309;36;1
312;269;69;1
164;195;27;1
74;431;41;1
121;153;120;1
174;431;127;1
306;392;79;1
184;409;7;1
233;304;80;1
34;384;130;1
92;364;93;1
75;304;66;1
210;123;139;1
12;332;136;1
82;202;119;1
77;148;62;1
195;335;105;1
179;316;23;1
419;378;115;1
302;263;19;1
386;10;118;1
129;205;136;1
416;405;8;1
348;126;120;1
86;417;5;1
172;395;129;1
180;317;67;1
146;174;143;1
297;189;77;1
63;341;135;1
241;399;153;1
64;75;139;1
105;418;22;1
362;210;117;1
80;97;53;1
165;356;115;1
212;94;141;1
39;357;67;1
336;109;69;1
206;176;44;1
42;101;38;1
103;431;9;1
242;255;164;1
346;53;104;1
44;50;145;1
253;431;60;1
182;311;95;1
319;318;137;1
406;431;117;1
117;91;83;1
418;375;80;1
87;382;104;1
220;125;80;1
105;318;45;1
183;3;26;1
256;109;111;1
337;171;11;1
416;96;105;1
117;109;116;1
79;137;57;1
278;417;160;1
131;426;19;1
83;250;69;1
369;371;21;1
98;151;132;1
319;340;72;1
102;201;39;1
84;140;105;1
47;127;82;1
341;130;19;1
47;316;131;1
302;109;11;1
316;389;57;1
406;100;40;1
22;412;19;1
355;118;68;1
93;243;62;1
60;371;19;1
345;305;91;1
264;359;136;1
114;59;71;1
420;434;33;1
260;248;32;1
86;182;111;1
122;270;116;1
107;408;11;1
417;41;148;1
73;191;148;1
396;431;32;1
165;403;54;1
137;92;68;1
154;131;39;1
303;204;21;1
133;4;138;1
164;420;105;1
109;235;118;1
136;110;11;1
137;393;95;1
425;110;43;1
235;239;116;1
90;15;16;1
98;330;91;1
66;62;122;1
431;431;112;1
339;109;117;1
175;104;139;1
85;85;36;1
185;95;23;1
431;307;71;1
420;357;45;1
303;217;67;1
164;202;4;1
269;191;42;1
108;225;80;1
305;233;119;1
43;431;155;1
88;307;119;1
220;149;110;1
203;311;41;1
95;131;71;1
188;119;31;1
325;168;20;1
90;114;167;1
98;265;117;1
136;395;71;1
351;108;17;1
246;431;87;1
30;316;111;1
140;364;140;1
96;182;37;1
348;378;124;1
316;113;92;1
431;272;18;1
238;191;118;1
96;373;54;1
65;334;113;1
110;86;147;1
102;331;145;1
48;346;103;1
192;101;65;1
137;207;136;1
303;85;157;1
87;100;48;1
196;137;117;1
109;225;40;1
376;307;17;1
152;366;11;1
277;403;106;1
96;243;106;1
305;136;138;1
353;351;48;1
75;1;32;1
98;163;48;1
417;306;118;1
29;94;9;1
210;119;140;1
128;420;140;1
224;299;35;1
239;299;105;1
102;93;19;1
107;361;142;1
303;45;20;1
99;268;41;1
17;47;163;1
244;420;111;1
407;353;110;1
243;431;86;1
105;400;12;1
299;309;144;1
44;431;66;1
350;58;143;1
189;171;12;1
249;242;34;1
154;75;166;1
217;223;134;1
107;105;12;1
198;107;131;1
83;130;164;1
334;19;104;1
198;217;162;1
103;331;120;1
42;128;44;1
91;313;165;1
379;159;112;1
336;228;132;1
410;96;52;1
85;309;44;1
196;20;119;1
189;240;36;1
130;172;61;1
97;124;133;1
403;393;54;1
55;423;20;1
26;62;94;1
203;115;140;1
92;125;159;1
96;189;20;1
296;303;119;1
91;160;63;1
313;308;67;1
140;34;22;1
83;72;57;1
324;353;63;1
64;156;139;1
98;133;63;1
131;395;1;1
218;61;33;1
237;263;164;1
214;182;4;1
256;254;67;1
338;131;67;1
151;55;104;1
135;102;139;1
100;229;167;1
116;30;141;1
75;38;129;1
389;431;45;1
160;331;88;1
344;431;59;1
166;13;57;1
305;98;123;1
93;102;112;1
180;399;114;1
304;194;165;1
254;109;83;1
430;3;14;1
101;197;111;1
333;101;163;1
45;266;32;1
250;224;71;1
102;376;150;1
93;345;165;1
89;342;118;1
248;109;43;1
81;316;94;1
97;232;82;1
304;431;34;1
308;27;96;1
193;431;62;1
381;407;70;1
357;94;20;1
204;57;94;1
259;184;80;1
114;135;115;1
316;282;83;1
135;195;19;1
316;139;161;1
264;415;146;1
413;243;22;1
153;351;144;1
201;198;65;1
142;6;161;1
98;56;151;1
34;54;162;1
216;205;114;1
54;9;104;1
105;306;43;1
119;107;64;1
303;431;163;1
413;273;66;1
428;352;112;1
140;396;160;1
184;107;31;1
306;139;65;1
146;51;160;1
222;269;56;1
45;165;7;1
113;403;67;1
212;183;20;1
171;66;86;1
268;375;157;1
352;271;119;1
350;431;106;1
353;309;23;1
431;428;141;1
48;6;118;1
314;164;50;1
78;330;18;1
47;106;154;1
138;344;91;1
431;431;113;1
251;97;156;1
327;119;9;1
380;130;46;1
100;9;89;1
389;50;161;1
191;431;81;1
272;304;33;1
96;339;6;1
19;373;164;1
42;431;151;1
55;416;44;1
94;245;157;1
250;215;18;1
23;344;66;1
366;125;57;1
425;173;117;1
268;412;64;1
322;411;17;1
357;244;44;1
143;419;92;1
164;234;103;1
138;431;89;1
125;344;20;1
137;424;156;1
407;432;157;1
115;192;56;1
244;421;91;1
388;171;165;1
118;79;64;1
336;431;128;1
124;336;136;1
48;28;32;1
176;271;111;1
337;228;161;1
171;106;67;1
124;136;92;1
115;196;133;1
337;54;45;1
201;111;53;1
87;131;16;1
348;96;107;1
88;99;136;1
431;98;84;1
219;315;156;1
307;434;68;1
431;387;115;1
356;431;108;1
325;50;20;1
240;277;135;1
138;347;49;1
331;431;33;1
174;272;121;1
384;136;163;1
354;49;45;1
177;257;69;1
88;431;158;1
353;176;143;1
131;65;42;1
95;263;140;1
87;225;136;1
3;139;58;1
245;267;133;1
42;71;115;1
431;242;11;1
308;249;65;1
164;416;103;1
204;85;163;1
106;280;141;1
13;237;11;1
126;10;158;1
353;346;59;1
136;176;166;1
390;377;86;1
313;349;151;1
121;130;163;1
312;60;66;1
316;97;120;1
45;109;118;1
133;202;70;1
94;97;10;1
186;416;96;1
204;382;125;1
326;263;22;1
143;5;20;1
280;109;135;1
331;251;144;1
402;92;87;1
306;347;106;1
192;422;160;1
30;421;96;1
86;272;24;1
382;51;116;1
150;359;92;1
312;406;60;1
12;253;102;1
318;315;21;1
88;394;20;1
87;353;110;1
424;352;58;1
306;434;102;1
166;265;81;1
35;4;15;1
52;431;80;1
407;302;89;1
90;219;22;1
133;309;163;1
403;134;5;1
91;302;120;1
99;277;104;1
51;127;39;1
64;113;133;1
89;190;143;1
198;317;138;1
160;122;45;1
193;258;57;1
343;127;57;1
102;431;116;1
352;55;68;1
140;201;68;1
359;215;92;1
88;149;143;1
61;303;164;1
93;322;157;1
108;137;130;1
182;212;157;1
97;187;138;1
237;169;30;1
269;384;157;1
319;93;144;1
97;305;118;1
244;416;157;1
13;374;103;1
108;280;47;1
304;433;104;1
131;103;37;1
198;163;114;1
100;222;142;1
305;212;12;1
255;160;45;1
129;361;141;1
61;161;63;1
41;88;20;1
345;48;23;1
368;431;106;1
189;135;105;1
203;188;96;1
196;237;162;1
400;138;142;1
3;203;163;1
84;251;110;1
167;199;123;1
183;385;161;1
376;392;21;1
108;144;64;1
138;107;8;1
94;169;133;1
271;350;77;1
64;110;45;1
308;413;115;1
241;186;83;1
6;13;30;1
266;167;59;1
119;263;6;1
243;423;113;1
20;314;85;1
257;96;18;1
104;201;93;1
131;322;56;1
319;365;91;1
169;307;92;1
302;92;164;1
103;90;19;1
269;313;61;1
392;91;93;1
319;315;60;1
416;274;105;1
110;137;69;1
142;324;90;1
206;356;62;1
110;176;160;1
47;110;14;1
419;203;162;1
315;405;108;1
94;98;8;1
53;409;96;1
164;413;61;1
360;130;112;1
6;92;104;1
375;136;114;1
180;431;164;1
387;97;140;1
178;308;22;1
343;321;70;1
149;127;106;1
111;121;15;1
422;139;44;1
377;195;115;1
94;349;162;1
416;319;158;1
235;399;165;1
215;96;80;1
413;177;17;1
412;414;138;1
89;45;36;1
415;433;58;1
350;378;84;1
27;434;109;1
313;168;119;1
240;86;40;1
336;342;116;1
302;96;116;1
322;41;115;1
126;244;47;1
311;432;157;1
138;168;91;1
122;165;166;1
239;405;160;1
27;347;136;1
308;299;134;1
301;89;162;1
101;374;57;1
258;229;140;1
99;383;140;1
395;210;163;1
431;242;19;1
427;314;142;1
51;390;64;1
412;344;161;1
355;238;102;1
367;199;39;1
111;122;15;1
103;98;68;1
187;220;63;1
143;282;166;1
365;301;9;1
108;140;85;1
64;260;58;1
304;271;58;1
402;138;92;1
89;318;16;1
189;124;13;1
87;381;53;1
201;254;145;1
420;199;160;1
328;167;167;1
324;400;152;1
172;177;10;1
16;409;64;1
253;188;88;1
127;108;166;1
307;212;161;1
237;107;57;1
258;3;159;1
245;112;157;1
157;141;54;1
356;180;15;1
268;245;10;1
140;99;73;1
7;379;158;1
308;83;15;1
68;218;115;1
282;147;94;1
105;247;3;1
380;61;117;1
313;167;146;1
348;134;159;1
129;242;46;1
259;103;140;1
179;82;14;1
8;350;159;1
334;112;38;1
87;175;72;1
420;434;35;1
163;227;81;1
350;423;91;1
252;345;42;1
194;125;54;1
200;321;159;1
199;172;77;1
245;306;59;1
431;429;162;1
25;6;12;1
99;112;94;1
50;382;46;1
176;378;104;1
95;341;155;1
113;431;149;1
340;41;7;1
43;16;165;1
99;139;101;1
421;410;149;1
93;129;96;1
319;314;71;1
388;13;114;1
72;256;154;1
26;113;90;1
344;130;141;1
126;199;39;1
309;9;104;1
203;83;46;1
282;246;88;1
95;424;119;1
9;114;115;1
92;244;21;1
46;96;64;1
124;381;78;1
92;99;59;1
254;413;112;1
302;322;60;1
32;54;21;1
83;307;115;1
132;141;121;1
210;331;68;1
346;273;146;1
120;351;141;1
265;203;36;1
324;101;56;1
132;94;73;1
335;130;115;1
24;133;128;1
111;299;23;1
408;253;147;1
121;431;154;1
202;85;82;1
319;312;93;1
195;325;158;1
202;102;137;1
219;130;45;1
324;203;16;1
91;353;39;1
110;133;131;1
330;97;64;1
409;87;42;1
344;339;163;1
56;400;19;1
181;413;111;1
119;318;15;1
263;351;63;1
120;357;30;1
106;318;82;1
219;122;133;1
243;37;152;1
84;431;102;1
122;23;19;1
81;97;140;1
200;256;87;1
128;92;65;1
313;245;118;1
143;413;117;1
193;195;141;1
203;234;57;1
3;377;119;1
228;202;15;1
378;118;30;1
30;396;45;1
361;218;162;1
236;133;27;1
105;13;120;1
315;140;67;1
181;394;46;1
100;305;19;1
307;187;47;1
431;175;110;1
127;409;46;1
87;89;60;1
89;374;35;1
92;431;41;1
188;379;152;1
364;168;41;1
99;356;20;1
220;57;137;1
421;252;18;1
228;233;137;1
398;93;66;1
376;260;92;1
322;298;43;1
188;129;108;1
345;99;159;1
105;152;166;1
225;226;30;1
268;432;108;1
182;104;62;1
122;356;131;1
105;9;86;1
102;431;12;1
256;387;136;1
333;193;9;1
13;378;90;1
11;52;110;1
123;114;56;1
242;431;155;1
275;167;103;1
116;119;8;1
297;206;71;1
318;306;21;1
150;143;120;1
213;126;111;1
100;216;161;1
318;342;144;1
101;55;34;1
263;129;167;1
127;87;139;1
412;399;110;1
36;386;62;1
149;338;160;1
80;88;118;1
106;140;160;1
323;376;112;1
67;90;16;1
96;429;110;1
75;25;40;1
115;342;45;1
102;342;119;1
426;176;39;1
153;130;49;1
229;159;143;1
129;324;116;1
27;335;134;1
394;242;45;1
181;432;85;1
131;431;33;1
190;215;96;1
351;322;129;1
117;90;140;1
116;343;140;1
125;356;39;1
297;257;18;1
391;135;121;1
252;276;161;1
249;431;38;1
431;92;141;1
124;431;151;1
245;353;46;1
337;133;31;1
366;9;26;1
110;189;35;1
101;78;114;1
329;56;58;1
106;434;141;1
193;327;35;1
200;373;113;1
345;373;15;1
264;174;84;1
431;424;117;1
188;103;160;1
140;2;68;1
92;263;133;1
171;135;67;1
83;240;110;1
85;265;120;1
311;188;140;1
141;134;134;1
165;361;36;1
372;368;68;1
302;386;161;1
9;347;34;1
93;197;93;1
244;204;147;1
362;127;114;1
260;346;57;1
347;375;122;1
127;330;41;1
97;126;12;1
387;257;140;1
414;431;37;1
83;376;59;1
114;114;155;1
323;316;73;1
44;320;42;1
321;91;44;1
101;143;38;1
425;431;141;1
269;301;58;1
129;413;164;1
359;212;15;1
129;255;64;1
410;250;10;1
188;239;47;1
273;85;112;1
81;356;72;1
21;51;162;1
97;370;105;1
123;419;90;1
138;280;92;1
401;299;38;1
7;10;58;1
312;99;82;1
106;106;160;1
341;106;41;1
152;196;23;1
20;176;137;1
247;265;117;1
426;431;157;1
374;97;135;1
125;105;57;1
300;406;73;1
317;187;66;1
2;100;157;1
203;221;21;1
101;71;61;1
151;159;21;1
394;348;90;1
108;12;76;1
93;303;49;1
252;312;166;1
260;159;113;1
278;401;33;1
228;309;70;1
195;96;133;1
179;147;2;1
54;40;109;1
100;94;128;1
130;97;87;1
196;419;135;1
117;405;126;1
162;431;130;1
347;187;21;1
93;179;13;1
316;298;98;1
242;179;92;1
148;318;104;1
318;431;22;1
68;191;70;1
202;127;45;1
103;144;20;1
349;139;65;1
87;94;157;1
335;106;146;1
51;296;84;1
200;313;142;1
410;410;85;1
264;355;37;1
428;312;95;1
413;50;142;1
392;360;43;1
342;101;69;1
11;103;129;1
116;89;78;1
311;358;122;1
421;26;80;1
