f;i;t;demand
2;100;13;12
3;125;13;3
7;87;13;5
8;104;13;2
9;97;13;4
14;82;13;1
15;75;13;1
17;370;13;1
18;76;13;1
24;190;13;1
26;261;13;4
27;399;13;2
29;424;13;1
31;353;13;1
35;41;13;1
37;65;13;1
38;230;13;1
39;433;13;1
42;431;13;1
1;324;14;16
2;100;14;11
6;104;14;3
7;87;14;1
8;104;14;5
9;97;14;1
10;302;14;1
17;370;14;1
18;76;14;1
22;119;14;1
23;175;14;2
24;190;14;1
26;261;14;7
28;314;14;1
29;424;14;4
34;17;14;1
38;230;14;2
39;433;14;1
41;434;14;1
42;431;14;1
1;324;15;11
2;100;15;9
7;87;15;1
9;97;15;1
10;302;15;1
15;75;15;1
16;227;15;1
21;118;15;1
26;261;15;9
29;424;15;1
34;17;15;1
37;65;15;1
38;230;15;2
42;431;15;1
1;324;16;10
2;100;16;12
3;125;16;1
5;114;16;1
7;87;16;1
8;104;16;3
11;39;16;1
15;75;16;1
19;371;16;1
20;119;16;1
21;118;16;1
23;175;16;2
26;261;16;8
29;424;16;1
31;353;16;2
32;383;16;2
38;230;16;3
1;324;17;16
2;100;17;16
3;125;17;3
6;104;17;1
8;104;17;3
9;97;17;3
15;75;17;2
17;370;17;1
20;119;17;1
26;261;17;12
28;314;17;1
29;424;17;3
34;17;17;1
38;230;17;3
40;432;17;2
1;324;18;8
2;100;18;6
3;125;18;1
7;87;18;3
8;104;18;1
9;97;18;1
10;302;18;2
17;370;18;1
19;371;18;1
22;119;18;1
23;175;18;1
24;190;18;1
25;234;18;1
26;261;18;11
27;399;18;1
29;424;18;1
30;350;18;1
31;353;18;1
33;33;18;1
34;17;18;1
36;72;18;1
38;230;18;1
1;324;19;3
2;100;19;2
3;125;19;1
26;261;19;3
38;230;19;1
1;324;20;4
2;100;20;7
4;104;20;1
26;261;20;5
29;424;20;1
38;230;20;1
40;432;20;1
1;324;21;2
26;261;21;3
35;41;21;1
1;324;23;1
2;100;23;1
29;424;23;1
2;100;24;1
3;125;24;1
14;82;24;1
26;261;25;1
23;175;27;1
38;230;27;1
1;324;29;10
2;100;29;9
7;87;29;2
9;97;29;1
11;39;29;1
19;371;29;1
23;175;29;1
24;190;29;1
25;234;29;1
26;261;29;6
29;424;29;3
30;350;29;1
31;353;29;2
32;383;29;2
38;230;29;3
39;433;29;2
42;431;29;1
1;324;30;8
2;100;30;8
3;125;30;4
4;104;30;1
7;87;30;3
9;97;30;1
13;25;30;1
16;227;30;1
17;370;30;1
18;76;30;1
19;371;30;1
23;175;30;1
26;261;30;12
29;424;30;2
32;383;30;2
38;230;30;1
39;433;30;1
40;432;30;1
42;431;30;2
1;324;31;8
2;100;31;11
7;87;31;2
8;104;31;1
9;97;31;2
14;82;31;1
16;227;31;1
17;370;31;1
19;371;31;1
20;119;31;1
26;261;31;5
36;72;31;1
38;230;31;1
1;324;32;15
2;100;32;15
3;125;32;2
6;104;32;2
7;87;32;5
8;104;32;3
9;97;32;1
10;302;32;1
14;82;32;1
23;175;32;1
25;234;32;2
26;261;32;11
29;424;32;2
34;17;32;1
35;41;32;1
36;72;32;1
38;230;32;3
1;324;33;10
2;100;33;10
5;114;33;1
6;104;33;2
7;87;33;1
8;104;33;1
9;97;33;2
18;76;33;2
22;119;33;2
23;175;33;2
26;261;33;8
29;424;33;2
30;350;33;1
34;17;33;1
38;230;33;4
1;324;34;10
2;100;34;12
3;125;34;3
4;104;34;1
5;114;34;1
6;104;34;1
7;87;34;2
8;104;34;5
11;39;34;1
13;25;34;1
20;119;34;1
22;119;34;1
26;261;34;16
27;399;34;1
28;314;34;1
29;424;34;2
31;353;34;1
35;41;34;1
37;65;34;1
38;230;34;1
42;431;34;2
1;324;35;12
2;100;35;21
3;125;35;4
6;104;35;1
7;87;35;1
8;104;35;2
10;302;35;1
14;82;35;1
15;75;35;2
16;227;35;1
17;370;35;1
23;175;35;4
25;234;35;1
26;261;35;18
29;424;35;3
34;17;35;2
36;72;35;1
39;433;35;1
1;324;36;17
2;100;36;11
3;125;36;2
5;114;36;1
7;87;36;2
8;104;36;3
9;97;36;2
10;302;36;1
13;25;36;1
23;175;36;3
26;261;36;8
27;399;36;2
33;33;36;1
37;65;36;1
38;230;36;2
1;324;37;21
2;100;37;11
3;125;37;1
5;114;37;1
6;104;37;1
8;104;37;2
9;97;37;1
11;39;37;1
12;50;37;1
14;82;37;1
15;75;37;1
20;119;37;1
21;118;37;1
23;175;37;2
26;261;37;16
28;314;37;1
29;424;37;1
32;383;37;1
35;41;37;2
37;65;37;1
38;230;37;3
1;324;38;11
2;100;38;11
3;125;38;3
4;104;38;1
5;114;38;1
7;87;38;2
9;97;38;1
13;25;38;1
19;371;38;1
20;119;38;1
22;119;38;1
23;175;38;2
26;261;38;18
29;424;38;2
30;350;38;1
31;353;38;1
1;324;39;8
2;100;39;18
3;125;39;1
5;114;39;1
8;104;39;1
9;97;39;1
15;75;39;1
16;227;39;1
18;76;39;1
19;371;39;1
21;118;39;2
23;175;39;1
24;190;39;1
25;234;39;1
26;261;39;10
29;424;39;2
33;33;39;3
38;230;39;2
39;433;39;1
1;324;40;15
2;100;40;19
3;125;40;2
4;104;40;2
5;114;40;1
9;97;40;2
13;25;40;1
14;82;40;1
15;75;40;1
23;175;40;2
26;261;40;7
27;399;40;1
29;424;40;1
35;41;40;1
38;230;40;1
1;324;41;14
2;100;41;10
7;87;41;1
9;97;41;1
12;50;41;1
16;227;41;1
17;370;41;1
18;76;41;3
20;119;41;1
21;118;41;1
23;175;41;3
25;234;41;1
26;261;41;10
28;314;41;2
29;424;41;1
31;353;41;1
36;72;41;1
38;230;41;2
1;324;42;11
2;100;42;21
3;125;42;4
7;87;42;1
11;39;42;1
13;25;42;1
15;75;42;1
22;119;42;1
23;175;42;1
24;190;42;1
25;234;42;1
26;261;42;10
29;424;42;2
33;33;42;1
35;41;42;1
38;230;42;1
41;434;42;1
1;324;43;5
3;125;43;1
8;104;43;1
9;97;43;1
22;119;43;1
26;261;43;3
1;324;44;5
2;100;44;1
7;87;44;1
26;261;44;5
29;424;44;1
37;65;44;1
41;434;44;1
1;324;45;3
2;100;45;2
3;125;45;2
26;261;45;8
29;424;45;1
36;72;45;1
41;434;45;1
1;324;47;1
2;100;49;1
26;261;49;1
1;324;50;1
2;100;50;1
31;353;50;1
2;100;51;1
12;50;52;1
1;324;53;5
2;100;53;6
7;87;53;1
9;97;53;1
16;227;53;1
21;118;53;2
23;175;53;2
26;261;53;10
29;424;53;2
35;41;53;1
36;72;53;1
37;65;53;1
40;432;53;1
1;324;54;8
2;100;54;5
3;125;54;3
7;87;54;2
8;104;54;1
9;97;54;3
17;370;54;1
19;371;54;1
20;119;54;1
21;118;54;1
24;190;54;1
26;261;54;7
28;314;54;1
29;424;54;1
33;33;54;1
34;17;54;1
36;72;54;1
37;65;54;1
38;230;54;1
1;324;55;6
2;100;55;9
3;125;55;2
4;104;55;2
8;104;55;1
25;234;55;1
26;261;55;4
27;399;55;1
28;314;55;1
29;424;55;1
36;72;55;1
38;230;55;1
39;433;55;1
42;431;55;1
1;324;56;16
2;100;56;14
3;125;56;5
4;104;56;1
6;104;56;1
7;87;56;1
9;97;56;1
10;302;56;1
14;82;56;2
16;227;56;1
17;370;56;2
19;371;56;1
20;119;56;1
21;118;56;1
22;119;56;1
23;175;56;4
24;190;56;1
26;261;56;21
29;424;56;1
31;353;56;1
33;33;56;1
34;17;56;1
35;41;56;1
38;230;56;3
1;324;57;17
2;100;57;12
4;104;57;1
7;87;57;2
8;104;57;1
9;97;57;2
13;25;57;3
14;82;57;1
20;119;57;1
21;118;57;1
23;175;57;1
24;190;57;1
25;234;57;1
26;261;57;16
27;399;57;1
29;424;57;1
31;353;57;1
32;383;57;1
36;72;57;1
37;65;57;1
38;230;57;2
39;433;57;1
40;432;57;1
42;431;57;3
1;324;58;16
2;100;58;13
3;125;58;2
5;114;58;1
7;87;58;1
8;104;58;2
9;97;58;1
10;302;58;1
12;50;58;1
14;82;58;1
15;75;58;1
20;119;58;1
23;175;58;2
26;261;58;20
28;314;58;1
29;424;58;2
30;350;58;2
32;383;58;2
34;17;58;2
38;230;58;2
41;434;58;1
42;431;58;3
1;324;59;20
2;100;59;20
3;125;59;4
5;114;59;1
7;87;59;2
8;104;59;1
9;97;59;2
12;50;59;1
15;75;59;1
19;371;59;2
23;175;59;1
24;190;59;1
26;261;59;13
27;399;59;1
28;314;59;1
29;424;59;3
30;350;59;1
35;41;59;1
37;65;59;1
41;434;59;1
1;324;60;12
2;100;60;14
3;125;60;1
4;104;60;1
5;114;60;2
6;104;60;1
8;104;60;2
9;97;60;3
11;39;60;1
12;50;60;1
13;25;60;1
23;175;60;1
26;261;60;16
29;424;60;2
34;17;60;2
1;324;61;18
2;100;61;16
3;125;61;1
7;87;61;3
8;104;61;2
12;50;61;1
13;25;61;1
18;76;61;2
21;118;61;1
23;175;61;2
24;190;61;1
25;234;61;1
26;261;61;23
29;424;61;4
30;350;61;1
31;353;61;1
34;17;61;2
37;65;61;1
40;432;61;1
1;324;62;20
2;100;62;21
3;125;62;2
7;87;62;5
8;104;62;1
9;97;62;4
11;39;62;1
12;50;62;2
13;25;62;3
15;75;62;1
18;76;62;1
19;371;62;2
22;119;62;1
23;175;62;2
26;261;62;16
29;424;62;4
30;350;62;1
33;33;62;1
38;230;62;2
39;433;62;1
40;432;62;1
42;431;62;2
1;324;63;14
2;100;63;14
3;125;63;3
4;104;63;1
6;104;63;2
8;104;63;2
9;97;63;3
15;75;63;3
17;370;63;1
19;371;63;1
20;119;63;1
22;119;63;1
23;175;63;2
26;261;63;22
29;424;63;2
34;17;63;1
35;41;63;1
36;72;63;2
38;230;63;2
41;434;63;2
1;324;64;15
2;100;64;15
3;125;64;3
6;104;64;1
7;87;64;3
8;104;64;2
9;97;64;2
11;39;64;1
12;50;64;1
14;82;64;1
15;75;64;1
22;119;64;1
23;175;64;1
26;261;64;14
28;314;64;2
29;424;64;2
30;350;64;1
31;353;64;1
32;383;64;1
33;33;64;2
38;230;64;5
40;432;64;1
1;324;65;15
2;100;65;15
7;87;65;3
8;104;65;1
9;97;65;1
10;302;65;1
13;25;65;1
18;76;65;1
21;118;65;1
23;175;65;2
26;261;65;14
31;353;65;2
35;41;65;1
38;230;65;1
41;434;65;1
42;431;65;1
1;324;66;15
2;100;66;9
3;125;66;3
6;104;66;1
7;87;66;2
8;104;66;2
9;97;66;1
10;302;66;1
15;75;66;1
16;227;66;1
18;76;66;2
21;118;66;1
23;175;66;1
24;190;66;1
26;261;66;9
29;424;66;2
32;383;66;2
36;72;66;1
38;230;66;3
39;433;66;2
41;434;66;1
1;324;67;5
2;100;67;3
3;125;67;1
8;104;67;1
23;175;67;1
26;261;67;1
29;424;67;1
40;432;67;1
1;324;68;4
2;100;68;2
3;125;68;1
7;87;68;1
20;119;68;1
23;175;68;2
26;261;68;1
41;434;68;1
1;324;69;3
2;100;69;4
5;114;69;1
7;87;69;1
23;175;69;1
26;261;69;6
29;424;69;1
36;72;69;1
40;432;69;1
1;324;70;1
26;261;70;1
1;324;71;1
26;261;71;2
29;424;71;1
7;87;72;1
8;104;72;1
25;234;72;1
26;261;72;1
29;424;72;1
1;324;73;2
8;104;73;1
19;371;73;1
41;434;73;1
1;324;74;2
29;424;74;1
8;104;75;1
1;324;76;1
2;100;76;2
7;87;76;1
26;261;76;1
31;353;76;1
1;324;77;3
2;100;77;8
3;125;77;1
8;104;77;1
9;97;77;1
13;25;77;1
17;370;77;1
18;76;77;1
21;118;77;1
23;175;77;1
26;261;77;12
40;432;77;1
41;434;77;1
1;324;78;4
2;100;78;8
3;125;78;2
6;104;78;1
7;87;78;1
8;104;78;1
9;97;78;2
10;302;78;1
11;39;78;1
16;227;78;1
20;119;78;1
23;175;78;1
26;261;78;6
29;424;78;1
30;350;78;1
38;230;78;2
1;324;79;11
2;100;79;11
3;125;79;4
7;87;79;1
9;97;79;3
10;302;79;1
12;50;79;2
23;175;79;1
26;261;79;9
28;314;79;1
29;424;79;2
34;17;79;2
40;432;79;1
42;431;79;1
1;324;80;19
2;100;80;14
3;125;80;2
4;104;80;2
7;87;80;1
8;104;80;3
9;97;80;5
10;302;80;1
12;50;80;2
13;25;80;1
17;370;80;1
21;118;80;1
22;119;80;1
24;190;80;1
26;261;80;26
29;424;80;2
32;383;80;1
34;17;80;2
35;41;80;1
37;65;80;4
38;230;80;2
39;433;80;1
40;432;80;1
42;431;80;4
1;324;81;13
2;100;81;21
4;104;81;1
6;104;81;1
8;104;81;3
9;97;81;6
12;50;81;1
14;82;81;1
17;370;81;2
19;371;81;1
23;175;81;5
24;190;81;2
25;234;81;1
26;261;81;21
27;399;81;1
28;314;81;1
29;424;81;2
30;350;81;1
35;41;81;1
38;230;81;3
40;432;81;1
1;324;82;17
2;100;82;13
4;104;82;1
5;114;82;1
7;87;82;3
8;104;82;1
9;97;82;5
10;302;82;1
14;82;82;1
15;75;82;1
18;76;82;1
19;371;82;1
22;119;82;1
23;175;82;4
26;261;82;13
27;399;82;1
29;424;82;4
36;72;82;1
37;65;82;1
38;230;82;2
41;434;82;1
42;431;82;2
1;324;83;9
2;100;83;15
3;125;83;1
4;104;83;2
8;104;83;3
9;97;83;3
11;39;83;1
12;50;83;2
14;82;83;1
15;75;83;1
20;119;83;1
23;175;83;3
25;234;83;1
26;261;83;14
28;314;83;1
30;350;83;1
32;383;83;1
36;72;83;1
38;230;83;2
40;432;83;1
41;434;83;3
42;431;83;2
1;324;84;14
2;100;84;14
3;125;84;5
4;104;84;1
6;104;84;1
7;87;84;2
8;104;84;2
9;97;84;3
10;302;84;2
13;25;84;1
21;118;84;1
23;175;84;2
26;261;84;19
33;33;84;1
35;41;84;3
38;230;84;1
41;434;84;1
42;431;84;3
1;324;85;11
2;100;85;13
3;125;85;2
7;87;85;3
8;104;85;3
9;97;85;1
10;302;85;2
11;39;85;2
14;82;85;1
23;175;85;1
25;234;85;1
26;261;85;12
28;314;85;1
29;424;85;2
30;350;85;1
31;353;85;1
32;383;85;1
33;33;85;1
35;41;85;1
36;72;85;1
38;230;85;1
40;432;85;1
1;324;86;15
2;100;86;11
3;125;86;1
5;114;86;1
7;87;86;2
9;97;86;2
11;39;86;1
16;227;86;1
17;370;86;1
19;371;86;1
21;118;86;1
22;119;86;1
23;175;86;2
24;190;86;1
26;261;86;20
27;399;86;1
29;424;86;2
35;41;86;1
36;72;86;1
40;432;86;1
42;431;86;2
1;324;87;15
2;100;87;16
7;87;87;2
8;104;87;2
9;97;87;2
11;39;87;1
12;50;87;1
14;82;87;1
22;119;87;1
23;175;87;2
26;261;87;12
27;399;87;1
29;424;87;2
34;17;87;1
37;65;87;1
38;230;87;1
39;433;87;1
41;434;87;1
1;324;88;14
2;100;88;9
3;125;88;1
5;114;88;1
6;104;88;1
7;87;88;3
8;104;88;3
9;97;88;1
10;302;88;1
12;50;88;1
19;371;88;1
23;175;88;1
26;261;88;14
29;424;88;2
30;350;88;2
31;353;88;1
37;65;88;1
41;434;88;1
1;324;89;10
2;100;89;4
3;125;89;2
4;104;89;1
8;104;89;1
9;97;89;2
10;302;89;2
15;75;89;1
16;227;89;1
23;175;89;1
24;190;89;1
25;234;89;1
26;261;89;10
29;424;89;2
32;383;89;1
1;324;90;10
2;100;90;10
4;104;90;1
8;104;90;1
9;97;90;1
13;25;90;1
17;370;90;3
18;76;90;1
19;371;90;2
23;175;90;2
25;234;90;1
26;261;90;14
27;399;90;1
29;424;90;1
36;72;90;1
37;65;90;1
39;433;90;1
40;432;90;1
41;434;90;1
1;324;91;2
2;100;91;1
25;234;91;1
26;261;91;1
27;399;91;1
32;383;91;1
38;230;91;1
2;100;92;4
11;39;92;1
19;371;92;1
20;119;92;1
26;261;92;1
33;33;92;1
36;72;92;1
38;230;92;1
1;324;93;3
2;100;93;3
8;104;93;1
23;175;93;1
26;261;93;4
33;33;93;1
39;433;93;1
40;432;93;1
42;431;93;1
1;324;94;1
8;104;95;1
38;230;95;1
16;227;96;1
26;261;97;1
1;324;98;1
3;125;98;1
18;76;98;1
33;33;98;1
38;230;98;1
26;261;99;2
1;324;100;1
2;100;100;1
3;125;100;2
26;261;100;1
1;324;101;9
2;100;101;6
3;125;101;1
7;87;101;2
8;104;101;2
14;82;101;1
18;76;101;1
21;118;101;1
24;190;101;1
26;261;101;3
33;33;101;1
40;432;101;1
1;324;102;7
2;100;102;9
3;125;102;1
7;87;102;1
8;104;102;2
11;39;102;1
13;25;102;1
15;75;102;1
24;190;102;2
26;261;102;4
27;399;102;1
29;424;102;1
31;353;102;1
38;230;102;2
40;432;102;1
1;324;103;9
2;100;103;8
3;125;103;2
5;114;103;1
9;97;103;1
13;25;103;1
18;76;103;1
26;261;103;7
28;314;103;1
29;424;103;2
30;350;103;1
31;353;103;1
38;230;103;1
40;432;103;1
41;434;103;1
1;324;104;16
2;100;104;24
3;125;104;3
5;114;104;1
7;87;104;2
8;104;104;2
11;39;104;1
16;227;104;1
18;76;104;1
21;118;104;1
22;119;104;1
23;175;104;3
24;190;104;1
25;234;104;1
26;261;104;12
28;314;104;1
30;350;104;1
32;383;104;1
34;17;104;2
35;41;104;1
36;72;104;1
38;230;104;5
39;433;104;2
40;432;104;2
41;434;104;1
1;324;105;19
2;100;105;18
6;104;105;1
8;104;105;1
9;97;105;1
13;25;105;1
14;82;105;1
18;76;105;1
21;118;105;2
23;175;105;3
25;234;105;1
26;261;105;19
27;399;105;1
29;424;105;2
30;350;105;1
31;353;105;1
37;65;105;1
38;230;105;3
39;433;105;1
1;324;106;18
2;100;106;19
3;125;106;6
5;114;106;1
8;104;106;2
9;97;106;3
10;302;106;1
11;39;106;1
13;25;106;1
20;119;106;1
23;175;106;2
24;190;106;1
25;234;106;1
26;261;106;23
29;424;106;5
33;33;106;2
35;41;106;1
36;72;106;1
38;230;106;2
42;431;106;1
1;324;107;20
2;100;107;22
3;125;107;2
6;104;107;1
7;87;107;1
9;97;107;5
10;302;107;1
11;39;107;1
12;50;107;1
16;227;107;1
17;370;107;1
18;76;107;1
20;119;107;1
23;175;107;2
25;234;107;1
26;261;107;16
27;399;107;1
28;314;107;1
30;350;107;1
38;230;107;3
39;433;107;1
41;434;107;1
1;324;108;25
2;100;108;19
3;125;108;4
4;104;108;1
7;87;108;2
8;104;108;2
9;97;108;2
11;39;108;1
16;227;108;1
20;119;108;2
23;175;108;2
26;261;108;14
27;399;108;1
28;314;108;1
31;353;108;1
32;383;108;1
33;33;108;1
34;17;108;1
36;72;108;1
38;230;108;3
42;431;108;1
1;324;109;9
2;100;109;17
5;114;109;1
7;87;109;4
8;104;109;2
9;97;109;1
10;302;109;2
11;39;109;1
12;50;109;1
15;75;109;1
16;227;109;1
18;76;109;1
20;119;109;1
23;175;109;4
26;261;109;12
27;399;109;1
31;353;109;1
37;65;109;1
38;230;109;2
39;433;109;1
1;324;110;12
2;100;110;11
3;125;110;2
5;114;110;1
7;87;110;2
8;104;110;1
9;97;110;2
10;302;110;1
21;118;110;1
22;119;110;1
23;175;110;5
24;190;110;1
25;234;110;2
26;261;110;18
28;314;110;1
29;424;110;3
31;353;110;1
36;72;110;1
37;65;110;1
38;230;110;1
41;434;110;1
1;324;111;15
2;100;111;16
3;125;111;4
4;104;111;1
7;87;111;2
8;104;111;2
9;97;111;2
14;82;111;1
16;227;111;2
18;76;111;1
20;119;111;2
23;175;111;3
25;234;111;2
26;261;111;11
29;424;111;4
31;353;111;1
34;17;111;1
37;65;111;1
38;230;111;1
39;433;111;1
42;431;111;2
1;324;112;15
2;100;112;5
6;104;112;1
7;87;112;1
8;104;112;5
11;39;112;1
22;119;112;1
23;175;112;1
26;261;112;9
30;350;112;1
38;230;112;1
40;432;112;1
1;324;113;7
2;100;113;10
3;125;113;3
4;104;113;1
6;104;113;1
8;104;113;2
9;97;113;1
14;82;113;1
16;227;113;1
23;175;113;1
24;190;113;1
26;261;113;6
29;424;113;1
38;230;113;2
1;324;114;9
2;100;114;4
3;125;114;1
6;104;114;1
7;87;114;3
8;104;114;1
9;97;114;2
16;227;114;2
17;370;114;1
23;175;114;1
26;261;114;3
32;383;114;1
41;434;114;1
42;431;114;1
1;324;115;3
2;100;115;2
26;261;115;1
2;100;116;3
4;104;116;1
26;261;116;4
37;65;116;1
38;230;116;1
1;324;117;1
2;100;117;4
15;75;117;1
23;175;117;1
29;424;117;1
37;65;117;1
26;261;118;1
2;100;119;1
8;104;119;1
14;82;119;1
26;261;119;1
28;314;119;1
1;324;120;1
38;230;121;1
3;125;122;1
2;100;124;1
7;87;124;1
9;97;124;1
29;424;124;1
1;324;125;2
2;100;125;2
23;175;125;1
26;261;125;3
29;424;125;1
38;230;125;1
41;434;125;1
1;324;126;2
2;100;126;5
9;97;126;1
26;261;126;2
1;324;127;1
2;100;127;1
11;39;127;1
13;25;127;1
19;371;127;1
26;261;127;3
35;41;127;1
1;324;128;8
2;100;128;6
8;104;128;2
9;97;128;1
20;119;128;1
26;261;128;5
32;383;128;1
1;324;129;5
2;100;129;6
3;125;129;1
8;104;129;1
21;118;129;1
23;175;129;1
26;261;129;4
37;65;129;1
38;230;129;1
1;324;130;3
2;100;130;4
7;87;130;1
8;104;130;1
25;234;130;1
26;261;130;7
29;424;130;2
33;33;130;1
1;324;131;6
2;100;131;3
7;87;131;3
8;104;131;1
20;119;131;1
26;261;131;8
29;424;131;1
33;33;131;1
34;17;131;1
35;41;131;1
38;230;131;1
1;324;132;4
2;100;132;3
8;104;132;2
21;118;132;1
23;175;132;1
26;261;132;6
29;424;132;3
35;41;132;1
42;431;132;1
1;324;133;5
2;100;133;8
3;125;133;1
5;114;133;2
9;97;133;1
26;261;133;2
36;72;133;2
38;230;133;1
41;434;133;1
1;324;134;4
2;100;134;3
8;104;134;1
9;97;134;2
13;25;134;1
26;261;134;5
38;230;134;1
1;324;135;9
2;100;135;7
7;87;135;1
8;104;135;2
16;227;135;1
26;261;135;6
38;230;135;1
40;432;135;1
1;324;136;5
2;100;136;3
8;104;136;1
9;97;136;1
24;190;136;1
26;261;136;4
27;399;136;1
1;324;137;3
2;100;137;6
6;104;137;1
12;50;137;1
22;119;137;1
26;261;137;3
29;424;137;1
38;230;137;1
1;324;138;4
2;100;138;2
3;125;138;1
7;87;138;2
8;104;138;1
9;97;138;1
11;39;138;1
16;227;138;1
20;119;138;1
22;119;138;1
26;261;138;7
27;399;138;1
42;431;138;1
7;87;139;2
9;97;139;1
29;424;139;1
39;433;139;1
2;100;140;3
11;39;140;1
23;175;140;1
25;234;140;1
26;261;140;1
32;383;140;1
38;230;140;1
1;324;141;1
2;100;141;2
26;261;141;1
2;100;142;1
27;399;142;1
26;261;143;1
17;370;144;1
23;175;146;1
29;424;146;1
7;87;147;1
38;230;148;1
1;324;149;5
2;100;149;4
7;87;149;1
26;261;149;3
29;424;149;1
33;33;149;1
1;324;150;1
2;100;150;1
7;87;150;1
28;314;150;1
1;324;151;2
2;100;151;2
26;261;151;3
2;100;152;2
3;125;152;1
11;39;152;1
26;261;152;1
1;324;153;6
2;100;153;3
18;76;153;1
26;261;153;1
1;324;154;4
2;100;154;3
3;125;154;1
26;261;154;2
1;324;155;1
2;100;155;3
3;125;155;1
7;87;155;1
15;75;155;1
16;227;155;1
26;261;155;6
1;324;156;3
2;100;156;3
23;175;156;1
26;261;156;5
29;424;156;1
1;324;157;3
2;100;157;2
3;125;157;1
7;87;157;1
12;50;157;2
17;370;157;1
23;175;157;1
26;261;157;5
29;424;157;2
39;433;157;1
42;431;157;2
1;324;158;3
2;100;158;6
3;125;158;1
7;87;158;1
26;261;158;3
42;431;158;1
1;324;159;2
2;100;159;5
4;104;159;1
8;104;159;1
12;50;159;1
23;175;159;1
26;261;159;3
30;350;159;1
33;33;159;1
40;432;159;1
1;324;160;5
2;100;160;3
14;82;160;1
19;371;160;1
26;261;160;3
32;383;160;1
38;230;160;1
39;433;160;1
1;324;161;4
2;100;161;4
8;104;161;2
22;119;161;1
26;261;161;3
29;424;161;2
36;72;161;1
38;230;161;1
1;324;162;1
26;261;162;3
33;33;162;1
39;433;162;1
1;324;163;1
2;100;163;2
15;75;163;1
1;324;164;1
2;100;164;3
8;104;164;1
13;25;164;1
22;119;164;1
24;190;164;1
8;104;165;1
26;261;165;1
31;353;165;1
9;97;167;1
26;261;167;1
