f;i;t;demand
59;183;12;1
60;203;12;1
61;180;12;2
65;236;12;1
69;263;12;2
72;249;12;1
73;274;12;1
75;261;12;2
77;248;12;1
78;278;12;11
79;252;12;20
82;275;12;1
83;407;12;1
85;419;12;1
86;272;12;1
87;399;12;1
88;403;12;2
89;276;12;2
90;376;12;2
91;388;12;2
92;386;12;4
93;18;12;1
98;1;12;2
99;13;12;2
102;8;12;3
105;159;12;1
106;44;12;1
107;145;12;2
111;67;12;1
113;211;12;1
115;225;12;1
116;206;12;2
117;219;12;4
119;432;12;1
120;433;12;4
124;431;12;1
2;143;13;22
3;134;13;12
4;143;13;15
5;131;13;11
6;317;13;8
7;109;13;12
11;132;13;2
12;122;13;2
14;110;13;1
17;105;13;1
22;98;13;1
24;87;13;1
25;106;13;14
33;354;13;1
36;344;13;1
37;132;13;3
42;342;13;1
44;282;13;1
45;224;13;2
46;327;13;2
48;119;13;1
54;329;13;2
60;203;13;1
64;173;13;1
69;263;13;1
71;253;13;1
76;248;13;1
77;248;13;1
78;278;13;6
79;252;13;17
80;111;13;1
82;275;13;2
85;419;13;1
87;399;13;3
90;376;13;1
91;388;13;2
92;386;13;1
102;8;13;1
115;225;13;4
116;206;13;4
119;432;13;2
120;433;13;1
122;431;13;1
125;431;13;1
2;143;14;9
3;134;14;13
4;143;14;11
5;131;14;12
6;317;14;9
7;109;14;14
10;123;14;1
19;104;14;1
22;98;14;1
23;94;14;1
24;87;14;1
25;106;14;14
26;247;14;1
28;263;14;1
33;354;14;1
34;143;14;1
37;132;14;3
39;332;14;1
44;282;14;3
45;224;14;2
46;327;14;2
47;87;14;1
49;116;14;2
51;355;14;1
55;329;14;1
59;183;14;3
61;180;14;2
64;173;14;3
65;236;14;1
69;263;14;1
70;248;14;1
72;249;14;1
74;268;14;1
76;248;14;1
78;278;14;12
79;252;14;17
80;111;14;1
82;275;14;2
87;399;14;1
88;403;14;6
89;276;14;1
91;388;14;3
92;386;14;1
95;14;14;3
102;8;14;1
103;39;14;1
104;158;14;1
106;44;14;1
107;145;14;1
108;76;14;1
112;56;14;1
116;206;14;1
117;219;14;2
119;432;14;1
120;433;14;4
122;431;14;1
123;431;14;1
124;431;14;1
1;113;15;2
2;143;15;10
3;134;15;13
4;143;15;8
5;131;15;14
6;317;15;12
7;109;15;12
9;133;15;1
10;123;15;3
11;132;15;4
12;122;15;6
15;110;15;1
18;115;15;1
20;112;15;1
22;98;15;2
24;87;15;3
25;106;15;11
31;29;15;1
33;354;15;1
36;344;15;2
37;132;15;1
39;332;15;1
42;342;15;3
43;365;15;1
44;282;15;1
45;224;15;1
46;327;15;3
48;119;15;1
55;329;15;1
58;196;15;1
59;183;15;2
60;203;15;2
61;180;15;2
62;190;15;1
66;236;15;1
67;248;15;1
68;246;15;1
70;248;15;1
72;249;15;3
78;278;15;22
79;252;15;17
81;413;15;1
82;275;15;1
86;272;15;1
87;399;15;2
88;403;15;3
89;276;15;2
91;388;15;4
96;28;15;1
100;4;15;1
102;8;15;1
105;159;15;1
106;44;15;2
107;145;15;1
115;225;15;1
119;432;15;4
120;433;15;2
121;431;15;1
2;143;16;15
3;134;16;8
4;143;16;9
5;131;16;9
6;317;16;11
7;109;16;10
11;132;16;2
12;122;16;4
13;91;16;1
23;94;16;1
25;106;16;15
29;315;16;1
30;247;16;1
34;143;16;1
37;132;16;3
39;332;16;1
48;119;16;1
51;355;16;1
52;83;16;1
54;329;16;1
56;119;16;1
58;196;16;1
59;183;16;1
60;203;16;2
61;180;16;1
70;248;16;1
73;274;16;1
76;248;16;1
77;248;16;1
78;278;16;12
79;252;16;7
81;413;16;1
83;407;16;1
84;424;16;3
86;272;16;1
87;399;16;1
88;403;16;1
89;276;16;1
90;376;16;1
91;388;16;2
92;386;16;3
100;4;16;1
104;158;16;1
110;69;16;1
113;211;16;1
114;219;16;1
115;225;16;4
116;206;16;1
119;432;16;1
120;433;16;1
121;431;16;1
123;431;16;1
124;431;16;1
2;143;17;16
3;134;17;8
4;143;17;16
5;131;17;10
6;317;17;11
7;109;17;9
10;123;17;2
11;132;17;2
17;105;17;1
19;104;17;1
24;87;17;1
25;106;17;10
26;247;17;2
29;315;17;1
30;247;17;1
31;29;17;1
37;132;17;1
42;342;17;1
44;282;17;3
45;224;17;1
46;327;17;3
48;119;17;1
53;85;17;2
56;119;17;2
59;183;17;3
60;203;17;1
61;180;17;2
67;248;17;1
78;278;17;6
79;252;17;7
83;407;17;2
87;399;17;1
88;403;17;3
89;276;17;2
92;386;17;1
94;32;17;2
107;145;17;1
111;67;17;1
117;219;17;1
118;432;17;1
119;432;17;1
121;431;17;1
125;431;17;1
2;143;18;12
3;134;18;10
4;143;18;10
5;131;18;6
6;317;18;9
7;109;18;8
11;132;18;1
12;122;18;1
14;110;18;1
16;113;18;1
18;115;18;1
22;98;18;1
24;87;18;1
25;106;18;17
36;344;18;2
37;132;18;1
41;338;18;1
44;282;18;1
45;224;18;1
46;327;18;3
48;119;18;1
49;116;18;1
53;85;18;1
55;329;18;1
57;186;18;1
59;183;18;1
60;203;18;1
61;180;18;1
66;236;18;1
69;263;18;1
76;248;18;1
78;278;18;16
79;252;18;16
83;407;18;1
85;419;18;1
86;272;18;2
88;403;18;1
91;388;18;2
92;386;18;3
97;10;18;1
102;8;18;1
103;39;18;1
108;76;18;1
110;69;18;1
111;67;18;1
115;225;18;3
116;206;18;1
117;219;18;1
119;432;18;1
121;431;18;1
123;431;18;1
124;431;18;1
2;143;19;4
3;134;19;3
4;143;19;3
5;131;19;1
6;317;19;3
7;109;19;2
12;122;19;1
25;106;19;2
44;282;19;2
56;119;19;1
62;190;19;2
78;278;19;2
79;252;19;2
87;399;19;1
90;376;19;1
98;1;19;1
115;225;19;1
2;143;20;3
3;134;20;2
4;143;20;1
5;131;20;3
6;317;20;3
7;109;20;1
25;106;20;2
39;332;20;1
44;282;20;1
78;278;20;1
79;252;20;1
80;111;20;1
84;424;20;1
91;388;20;1
104;158;20;1
113;211;20;1
115;225;20;1
117;219;20;1
119;432;20;1
2;143;21;4
3;134;21;6
4;143;21;1
5;131;21;4
6;317;21;1
7;109;21;4
25;106;21;2
31;29;21;1
55;329;21;1
63;299;21;1
78;278;21;2
79;252;21;3
89;276;21;1
92;386;21;2
116;206;21;1
122;431;21;1
125;431;21;1
3;134;22;2
5;131;22;2
25;106;22;1
117;219;22;1
2;143;23;2
3;134;23;3
4;143;23;3
6;317;23;2
23;94;23;1
24;87;23;1
115;225;23;1
6;317;24;1
37;132;24;1
46;327;24;1
3;134;25;1
4;143;25;1
5;131;25;1
7;109;25;1
79;252;25;1
89;276;25;1
4;143;26;1
116;206;26;1
2;143;27;1
46;327;27;1
85;419;27;1
116;206;27;1
120;433;27;1
5;131;28;1
40;331;28;1
63;299;28;1
2;143;29;12
3;134;29;12
4;143;29;8
5;131;29;7
6;317;29;6
7;109;29;5
10;123;29;1
11;132;29;2
12;122;29;1
13;91;29;1
25;106;29;7
27;94;29;2
31;29;29;1
37;132;29;2
38;327;29;1
44;282;29;1
45;224;29;2
46;327;29;3
49;116;29;2
59;183;29;1
60;203;29;1
61;180;29;2
65;236;29;1
66;236;29;1
69;263;29;1
71;253;29;1
74;268;29;1
75;261;29;1
78;278;29;8
79;252;29;13
80;111;29;1
85;419;29;1
87;399;29;1
88;403;29;2
89;276;29;1
91;388;29;3
103;39;29;1
107;145;29;2
108;76;29;1
115;225;29;2
116;206;29;1
118;432;29;1
119;432;29;1
120;433;29;1
122;431;29;1
123;431;29;1
2;143;30;7
3;134;30;7
4;143;30;8
5;131;30;7
6;317;30;11
7;109;30;5
10;123;30;1
12;122;30;1
13;91;30;1
22;98;30;1
23;94;30;1
24;87;30;4
25;106;30;8
32;132;30;1
37;132;30;1
44;282;30;1
45;224;30;1
46;327;30;2
52;83;30;1
56;119;30;1
59;183;30;1
61;180;30;1
67;248;30;1
71;253;30;1
74;268;30;1
78;278;30;7
79;252;30;4
82;275;30;1
85;419;30;1
87;399;30;2
88;403;30;1
89;276;30;3
91;388;30;1
92;386;30;1
95;14;30;1
102;8;30;2
110;69;30;1
112;56;30;1
115;225;30;1
117;219;30;1
118;432;30;1
119;432;30;1
120;433;30;1
121;431;30;2
2;143;31;6
3;134;31;5
4;143;31;6
5;131;31;12
6;317;31;8
7;109;31;10
9;133;31;1
10;123;31;1
11;132;31;2
21;111;31;1
24;87;31;2
25;106;31;5
26;247;31;1
34;143;31;1
35;142;31;1
36;344;31;1
41;338;31;1
44;282;31;1
45;224;31;1
54;329;31;1
60;203;31;3
63;299;31;1
67;248;31;1
70;248;31;1
74;268;31;1
78;278;31;5
79;252;31;9
84;424;31;1
87;399;31;2
92;386;31;2
93;18;31;1
99;13;31;1
102;8;31;1
103;39;31;1
104;158;31;1
115;225;31;1
116;206;31;1
117;219;31;2
120;433;31;2
121;431;31;1
124;431;31;1
2;143;32;12
3;134;32;17
4;143;32;10
5;131;32;14
6;317;32;19
7;109;32;9
10;123;32;2
11;132;32;1
12;122;32;2
13;91;32;1
16;113;32;1
19;104;32;1
24;87;32;1
25;106;32;13
29;315;32;1
37;132;32;2
41;338;32;1
43;365;32;1
44;282;32;3
46;327;32;4
47;87;32;1
48;119;32;1
51;355;32;1
52;83;32;1
54;329;32;1
59;183;32;1
61;180;32;3
62;190;32;2
63;299;32;1
65;236;32;2
66;236;32;1
67;248;32;2
70;248;32;1
78;278;32;11
79;252;32;10
86;272;32;1
87;399;32;2
89;276;32;2
91;388;32;1
92;386;32;2
94;32;32;1
99;13;32;2
115;225;32;3
116;206;32;1
118;432;32;1
119;432;32;2
120;433;32;4
122;431;32;1
2;143;33;16
3;134;33;15
4;143;33;9
5;131;33;13
6;317;33;22
7;109;33;10
12;122;33;3
14;110;33;1
15;110;33;1
17;105;33;1
21;111;33;1
24;87;33;3
25;106;33;15
28;263;33;1
33;354;33;1
36;344;33;1
37;132;33;1
39;332;33;1
41;338;33;1
45;224;33;4
48;119;33;1
49;116;33;1
54;329;33;1
56;119;33;1
57;186;33;1
58;196;33;1
59;183;33;2
60;203;33;2
63;299;33;1
67;248;33;1
78;278;33;17
79;252;33;6
85;419;33;1
87;399;33;2
88;403;33;1
89;276;33;3
91;388;33;2
92;386;33;1
101;20;33;1
105;159;33;1
107;145;33;1
111;67;33;1
112;56;33;1
114;219;33;2
115;225;33;1
116;206;33;2
117;219;33;2
120;433;33;1
121;431;33;2
123;431;33;1
124;431;33;1
125;431;33;1
2;143;34;11
3;134;34;14
4;143;34;16
5;131;34;12
6;317;34;17
7;109;34;11
9;133;34;1
10;123;34;4
14;110;34;2
19;104;34;1
24;87;34;2
25;106;34;15
29;315;34;1
31;29;34;1
32;132;34;1
33;354;34;1
37;132;34;3
44;282;34;1
45;224;34;1
46;327;34;1
56;119;34;1
58;196;34;1
59;183;34;1
60;203;34;3
62;190;34;1
64;173;34;4
68;246;34;1
71;253;34;1
78;278;34;25
79;252;34;12
86;272;34;2
87;399;34;2
88;403;34;3
91;388;34;4
92;386;34;1
102;8;34;2
104;158;34;1
106;44;34;2
108;76;34;1
113;211;34;1
115;225;34;1
116;206;34;3
117;219;34;1
119;432;34;2
120;433;34;4
125;431;34;1
1;113;35;2
2;143;35;19
3;134;35;12
4;143;35;14
5;131;35;7
6;317;35;16
7;109;35;10
9;133;35;1
10;123;35;4
11;132;35;2
16;113;35;1
17;105;35;1
19;104;35;1
22;98;35;1
23;94;35;1
24;87;35;5
25;106;35;17
26;247;35;1
27;94;35;1
29;315;35;1
30;247;35;2
34;143;35;1
37;132;35;2
38;327;35;1
44;282;35;1
45;224;35;3
49;116;35;1
53;85;35;1
57;186;35;1
59;183;35;2
61;180;35;3
63;299;35;1
64;173;35;1
65;236;35;1
66;236;35;1
67;248;35;1
68;246;35;1
74;268;35;3
77;248;35;1
78;278;35;14
79;252;35;14
81;413;35;1
82;275;35;1
83;407;35;1
85;419;35;1
88;403;35;3
89;276;35;1
90;376;35;2
91;388;35;4
92;386;35;1
93;18;35;1
97;10;35;1
101;20;35;1
106;44;35;1
113;211;35;1
115;225;35;3
116;206;35;1
117;219;35;1
119;432;35;2
122;431;35;2
125;431;35;2
2;143;36;7
3;134;36;21
4;143;36;12
5;131;36;9
6;317;36;12
7;109;36;11
9;133;36;1
10;123;36;1
11;132;36;2
12;122;36;1
19;104;36;2
21;111;36;1
23;94;36;1
24;87;36;1
25;106;36;25
27;94;36;2
28;263;36;1
29;315;36;1
30;247;36;2
31;29;36;1
33;354;36;1
35;142;36;1
37;132;36;2
40;331;36;1
43;365;36;1
44;282;36;3
46;327;36;2
51;355;36;1
53;85;36;1
60;203;36;1
61;180;36;2
63;299;36;2
64;173;36;2
67;248;36;1
73;274;36;1
74;268;36;1
75;261;36;1
76;248;36;1
77;248;36;1
78;278;36;19
79;252;36;8
87;399;36;1
88;403;36;4
90;376;36;2
91;388;36;1
95;14;36;1
96;28;36;1
97;10;36;1
98;1;36;1
105;159;36;1
108;76;36;2
109;70;36;1
112;56;36;2
115;225;36;1
116;206;36;1
117;219;36;2
119;432;36;3
120;433;36;1
125;431;36;2
2;143;37;9
3;134;37;16
4;143;37;13
5;131;37;12
6;317;37;11
7;109;37;13
10;123;37;1
11;132;37;1
12;122;37;2
21;111;37;1
22;98;37;1
24;87;37;3
25;106;37;15
26;247;37;1
28;263;37;1
34;143;37;1
37;132;37;1
38;327;37;1
39;332;37;1
43;365;37;1
44;282;37;4
45;224;37;1
46;327;37;3
51;355;37;1
53;85;37;1
55;329;37;2
56;119;37;2
59;183;37;3
60;203;37;4
63;299;37;2
64;173;37;1
66;236;37;1
68;246;37;1
72;249;37;2
78;278;37;13
79;252;37;7
81;413;37;1
84;424;37;2
89;276;37;3
91;388;37;4
92;386;37;1
93;18;37;1
99;13;37;1
102;8;37;1
104;158;37;1
106;44;37;1
112;56;37;1
113;211;37;1
114;219;37;1
116;206;37;1
117;219;37;4
118;432;37;3
119;432;37;2
120;433;37;5
122;431;37;1
123;431;37;1
1;113;38;1
2;143;38;10
3;134;38;19
4;143;38;9
5;131;38;9
6;317;38;9
7;109;38;11
9;133;38;1
10;123;38;1
11;132;38;1
12;122;38;2
14;110;38;1
19;104;38;1
24;87;38;2
25;106;38;17
26;247;38;1
29;315;38;1
32;132;38;1
33;354;38;1
37;132;38;2
39;332;38;1
44;282;38;4
45;224;38;2
46;327;38;3
47;87;38;1
53;85;38;1
58;196;38;3
59;183;38;5
61;180;38;1
65;236;38;1
66;236;38;1
67;248;38;1
73;274;38;1
74;268;38;1
75;261;38;1
76;248;38;1
77;248;38;2
78;278;38;11
79;252;38;14
80;111;38;2
81;413;38;1
86;272;38;1
87;399;38;5
88;403;38;1
89;276;38;2
90;376;38;1
91;388;38;2
92;386;38;2
96;28;38;1
99;13;38;1
100;4;38;1
103;39;38;1
115;225;38;2
116;206;38;2
117;219;38;4
119;432;38;1
120;433;38;1
122;431;38;2
123;431;38;2
125;431;38;2
1;113;39;1
2;143;39;18
3;134;39;16
4;143;39;18
5;131;39;17
6;317;39;10
7;109;39;12
8;138;39;1
9;133;39;1
10;123;39;3
11;132;39;1
12;122;39;3
14;110;39;1
15;110;39;1
16;113;39;1
18;115;39;2
19;104;39;1
20;112;39;1
24;87;39;1
25;106;39;11
35;142;39;1
37;132;39;2
40;331;39;1
41;338;39;1
44;282;39;4
45;224;39;2
46;327;39;2
50;334;39;1
52;83;39;1
54;329;39;1
59;183;39;2
60;203;39;3
61;180;39;2
63;299;39;1
64;173;39;2
65;236;39;1
66;236;39;1
67;248;39;1
70;248;39;1
71;253;39;2
78;278;39;19
79;252;39;14
87;399;39;2
88;403;39;3
89;276;39;1
91;388;39;1
92;386;39;3
93;18;39;1
96;28;39;1
98;1;39;1
99;13;39;1
101;20;39;1
109;70;39;1
110;69;39;2
115;225;39;1
116;206;39;2
117;219;39;1
118;432;39;1
119;432;39;2
120;433;39;1
122;431;39;1
2;143;40;11
3;134;40;12
4;143;40;11
5;131;40;14
6;317;40;16
7;109;40;16
10;123;40;3
12;122;40;2
15;110;40;1
17;105;40;2
19;104;40;1
21;111;40;1
25;106;40;12
30;247;40;1
32;132;40;1
33;354;40;1
37;132;40;2
39;332;40;1
41;338;40;1
42;342;40;1
43;365;40;1
44;282;40;3
45;224;40;1
46;327;40;2
53;85;40;2
57;186;40;1
59;183;40;1
60;203;40;1
61;180;40;1
63;299;40;1
69;263;40;1
75;261;40;1
77;248;40;1
78;278;40;6
79;252;40;11
81;413;40;1
86;272;40;1
87;399;40;1
88;403;40;1
89;276;40;1
92;386;40;2
100;4;40;1
101;20;40;1
105;159;40;1
111;67;40;1
113;211;40;1
115;225;40;3
116;206;40;2
117;219;40;1
118;432;40;1
119;432;40;2
120;433;40;1
124;431;40;1
1;113;41;1
2;143;41;6
3;134;41;10
4;143;41;19
5;131;41;12
6;317;41;13
7;109;41;13
8;138;41;1
10;123;41;2
11;132;41;4
12;122;41;2
19;104;41;1
22;98;41;1
23;94;41;1
24;87;41;4
25;106;41;14
35;142;41;2
36;344;41;1
37;132;41;1
38;327;41;1
42;342;41;1
43;365;41;2
44;282;41;4
45;224;41;1
46;327;41;1
49;116;41;1
51;355;41;1
52;83;41;2
58;196;41;1
59;183;41;2
60;203;41;3
61;180;41;2
62;190;41;1
64;173;41;1
72;249;41;1
78;278;41;15
79;252;41;11
80;111;41;1
83;407;41;1
84;424;41;1
86;272;41;2
88;403;41;1
89;276;41;3
91;388;41;2
92;386;41;3
94;32;41;1
95;14;41;1
99;13;41;1
104;158;41;2
109;70;41;1
112;56;41;1
114;219;41;1
115;225;41;3
116;206;41;2
118;432;41;2
119;432;41;1
120;433;41;1
122;431;41;1
1;113;42;2
2;143;42;19
3;134;42;22
4;143;42;14
5;131;42;17
6;317;42;11
7;109;42;14
10;123;42;1
11;132;42;1
12;122;42;3
25;106;42;12
31;29;42;1
32;132;42;1
35;142;42;1
36;344;42;1
37;132;42;3
40;331;42;1
45;224;42;1
48;119;42;1
49;116;42;1
53;85;42;1
55;329;42;1
60;203;42;1
61;180;42;1
65;236;42;1
70;248;42;1
73;274;42;2
78;278;42;8
79;252;42;15
83;407;42;1
87;399;42;2
89;276;42;3
90;376;42;2
91;388;42;3
92;386;42;1
105;159;42;2
106;44;42;2
111;67;42;1
112;56;42;1
117;219;42;2
119;432;42;2
121;431;42;1
123;431;42;1
2;143;43;3
3;134;43;3
4;143;43;2
5;131;43;2
6;317;43;2
7;109;43;3
11;132;43;3
12;122;43;1
25;106;43;7
34;143;43;1
35;142;43;1
37;132;43;1
47;87;43;1
49;116;43;1
62;190;43;1
78;278;43;5
79;252;43;2
88;403;43;1
90;376;43;1
98;1;43;1
100;4;43;2
104;158;43;1
115;225;43;2
116;206;43;1
2;143;44;4
3;134;44;2
4;143;44;5
5;131;44;4
6;317;44;4
7;109;44;2
8;138;44;1
12;122;44;1
24;87;44;1
25;106;44;2
28;263;44;1
35;142;44;1
37;132;44;1
45;224;44;1
72;249;44;1
79;252;44;3
84;424;44;1
88;403;44;1
89;276;44;1
107;145;44;1
113;211;44;1
115;225;44;2
2;143;45;5
3;134;45;3
4;143;45;2
5;131;45;2
6;317;45;3
7;109;45;2
11;132;45;1
17;105;45;1
21;111;45;1
24;87;45;1
25;106;45;2
27;94;45;1
37;132;45;1
41;338;45;1
53;85;45;1
58;196;45;1
59;183;45;1
60;203;45;2
61;180;45;1
78;278;45;3
79;252;45;7
97;10;45;1
100;4;45;1
105;159;45;1
4;143;46;1
5;131;46;1
4;143;47;1
29;315;48;1
79;252;48;1
88;403;48;1
109;70;48;1
110;69;48;1
115;225;48;1
2;143;49;2
4;143;49;2
5;131;49;1
6;317;49;1
12;122;49;1
21;111;49;1
78;278;49;2
3;134;50;1
6;317;50;1
25;106;50;1
74;268;50;1
87;399;50;1
117;219;50;1
2;143;51;2
3;134;51;1
7;109;51;1
11;132;51;1
23;94;51;1
24;87;51;1
91;388;51;1
92;386;51;1
105;159;51;1
4;143;52;3
5;131;52;1
7;109;52;1
46;327;52;1
59;183;52;1
65;236;52;1
67;248;52;1
91;388;52;1
2;143;53;6
3;134;53;7
4;143;53;8
5;131;53;7
6;317;53;6
7;109;53;5
8;138;53;1
10;123;53;3
11;132;53;1
14;110;53;1
21;111;53;1
23;94;53;1
24;87;53;2
25;106;53;8
27;94;53;1
28;263;53;1
30;247;53;1
37;132;53;1
44;282;53;1
45;224;53;1
46;327;53;2
47;87;53;1
50;334;53;1
51;355;53;1
61;180;53;1
64;173;53;1
70;248;53;1
76;248;53;1
78;278;53;4
79;252;53;6
80;111;53;1
89;276;53;1
95;14;53;1
96;28;53;1
97;10;53;1
99;13;53;1
108;76;53;1
110;69;53;1
119;432;53;1
